ID,PlotID,Sampling Time,Total Live Veg Cover,Total Live Veg Ht,Total Tree Cover,Total Tree Ht,Dead Tree Cover,Dead Tree Ht,Tree Overstory Cover,Tree Overstory Ht,Tree Understory Cover,Tree Understory Ht,Total Live Shrub Cover,Total Live Shrub Ht,Dead Shrub Cover,Dead Shrub Ht,Live Shrub Tall Cover,Live Shrub Tall Height,Live Shrub Medium Cover,Live Shrub Medium Height,Live Shrub Low Cover,Live Shrub Low Height,Herb Cover,Herb Ht,Gram Cover,Gram Ht,Other Cover,Notes
1,1,0,35,4,35,4,0.5,2.4,35,4,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.5,0.3,,
2,2,0,18,4,15,4,0.5,3,15,4,0.5,1.3,3,0.4,0,0,0,0,3,1.3,3,0.4,0.5,0.3,0.5,0.2,,
3,3,0,4,3,3,9,0.5,8,3,9,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,,
4,4,0,65,4,65,4,0.5,4,65,4,0.5,0.6,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.1,0.5,0.3,,
5,5,0,90,15,90,15,0.5,8,90,15,0.5,1,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.3,0,0,,
6,6,0,65,7,60,7,0.5,11,60,7,0.5,0.9,10,2.4,0.5,0.3,10,2.4,1,0.9,0.5,0.3,0.5,0.1,0.5,0.2,,
7,7,0,60,13,60,13,0.5,11,60,13,0.5,0.3,0.5,0.2,0,0,0,0,0,0,0.5,0.2,0.5,0.1,1,0.3,,
8,8,0,95,25,95,25,0.5,3,95,25,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0,,
9,9,0,95,1.2,0.5,5.8,0,0,0.5,5.8,0.5,1.8,95,1.2,0.5,0.2,20,1.9,95,1.2,40,0.2,0.5,0.1,0,0,,
10,10,0,90,1.4,2,10,0,0,2,10,0.5,0.3,75,1.4,0.5,0.2,5,1.9,75,1.4,10,0.3,0.5,0.3,0,0,,
11,11,0,78,11,75,11,0.5,14,75,11,0.5,0.4,3,1.2,0.5,0.1,0.5,2,3,1.2,2,0.3,0.5,0.1,0,0,,
12,12,0,62,10,62,10,2,7,60,10,0.5,0.1,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.5,0.5,0.2,,
13,13,0,36,10,35,10,0.5,11,35,10,0.5,0.2,1,0.4,0,0,0,0,0.5,0.8,1,0.4,0.5,0.3,1,0.2,,
14,14,0,70,0.9,5,9,0.5,10,5,9,0.5,0.6,55,0.9,0.5,0.1,2,1.6,50,0.9,3,0.3,0.5,0.4,0,0,,
15,15,0,0,1.3,0,0,0,0,0,0,0,0,100,1.3,5,0.3,10,1.7,100,1.3,5,0.2,0.5,0.2,0.5,0.8,,
16,16,0,50,5,50,5,0,0,50,5,0.5,0.2,2,1.2,0.5,0.2,0.5,1.9,2,1.2,0.5,0.3,1,0.3,1,0.6,,
17,17,0,30,12,30,12,0.5,11,30,12,0.5,0.3,0.5,0.6,0,0,0,0,0.5,0.6,0.5,0.2,0.5,0.2,0.5,0.5,,
18,18,0,95,1,0,0,0,0,0,0,0,0,95,1,1,0.1,1,1.9,95,1,45,0.3,0.5,0.1,,,,
19,19,0,20,13,12,15,0.5,1,12,15,0.5,1,5,1.2,0.5,0.4,1,2,5,1.2,0.5,0.3,3,0.2,1,0.1,,
20,20,0,35,1.3,10,6,1,3,10,6,0.5,1.2,25,1.3,2,0.2,0.5,1.9,20,1.3,3,0.2,1,0.3,1,0.2,,
21,21,0,60,20,60,20,0,0,60,20,0.5,1.7,2,0.4,0.5,0.1,0,0,0.5,0.7,2,0.4,0.5,0.3,1,0.7,,
22,22,0,85,1,2,6,0,0,2,6,0.5,0.4,85,1,0.5,0.3,2,1.7,85,1,40,0.3,5,0.2,0,0,,
23,23,0,55,11,35,11,0.5,2,35,11,0.5,1.4,25,1.2,0.5,0.4,1,1.9,20,1.2,10,0.3,0.5,0.2,0,0,,
24,24,0,75,10,75,10,0,4,75,10,0.5,1.3,0.5,0.4,0,0,0,0,0.5,1.2,0.5,0.4,0.5,0.4,0,0,,
25,25,0,50,1.2,4,9,0,0,4,90,0.5,0.8,45,1.2,0.5,0.3,0.5,1.9,40,1.2,5,0.4,0.5,0.1,0.5,0.2,,
26,26,0,20,1.4,3,7,0,0,3,7,0.5,1.2,15,1.4,0.5,1.9,0,0,12,1.4,3,0.4,0.5,0.2,1,0.6,,
27,27,0,85,1,2,,0.5,,2,,0.5,0.9,85,1,0.5,0.3,0.5,1.9,75,1,10,0.4,0.5,0.2,0.5,0.2,,
28,28,0,95,8,95,8,0.5,6,95,8,0.5,1.2,0.5,0.4,0,0,0,0,0,0,0.5,0.4,0,0,0,0,,
29,29,0,80,4,65,4,0,0,65,4,0.5,1,65,1.7,0.5,0.2,20,2.1,50,1.7,3,0.4,0,0,0,0,,
30,30,0,40,1.3,5,5,0,0,5,5,0.5,1.7,35,1.3,0,0,0,0,30,1.6,10,0.4,0.5,0.2,0,0,,
31,31,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.6,75,0.4,,
32,32,0,85,17,85,17,0.5,16,85,17,0.5,1.1,5,1.2,0.5,0.3,0.5,1.9,4,1.2,1,0.4,0.5,0.1,0,0,,
33,33,0,68,11,68,11,3,6,65,11,0.5,0.3,0.5,0.4,0,0,0,0,0,0,0.5,0.4,0.5,0.6,0,0,,
34,34,0,35,1.6,5,4,0.5,4,5,4,0.5,0.2,30,1.6,0.5,0.3,0.5,1.9,25,1.6,5,0.3,0.5,0.4,0.5,0.2,,
35,35,0,35,4,10,4,0,0,10,4,0.5,0.3,25,1.6,0.5,0.3,0,0,15,1.6,10,0.4,0.5,0.4,0.5,0.3,,
36,36,0,100,5,15,5,0,0,15,5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0.7,95,0.1,,
37,37,0,75,3,60,3,0.5,8,60,3,0.5,1.3,10,1.3,0.5,0.2,0.5,1.9,5,1.3,5,0.4,0.5,0.3,0.5,0.4,,
38,38,0,55,27.7,20,27.7,0,0,20,27.7,0.5,0.4,0,0,0,0,0,0,0,0,0,0,2,0.3,45,1.1,,
39,39,0,30,30,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
40,40,0,53,15,50,15,0.5,4,50,15,0.5,1,0,0,0,0,0,0,0,0,0,0,2,0.4,1,0.3,,
41,41,0,15,8,10,8,0,0,10,8,0.5,1,0,0,0,0,0,0,0,0,0,0,5,0.5,0.5,0.3,,
42,42,0,10,3,10,3,0,0,10,3,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.5,0.3,,
43,43,0,75,5.4,0.5,5.4,0,0,0.5,5.4,0.5,0.8,0,0,0,0,0,0,0,0,0,0,75,0.4,0.5,0.6,,
44,44,0,90,27,55,27,0,0,55,27,0.5,0.2,0.5,0.2,0,0,0,0,0,0,0.5,0.2,0.5,0.1,35,0.3,,
45,45,0,50,10,45,10,0.5,7,45,10,0.5,0.8,5,0.2,0,0,0,0,0,0,5,0.2,1,0.4,0.5,0.4,,
46,46,0,50,22,35,22,0.5,10,35,22,0.5,1.2,0,0,0,0,0,0,0,0,0,0,90,1.6,10,1.7,,
47,47,0,95,20,5,20,0.5,17,5,20,0.5,1.7,0,0,0,0,0,0,0,0,0,0,60,1.1,20,0.4,,
48,48,0,50,0.3,1,11,0,0,1,11,0.5,0.1,50,0.3,0,0,0,0,0,0,50,0.3,0.5,0.1,0.5,0.2,,
49,49,0,35,10,30,10,0.5,3,30,10,0.5,0.3,5,0.4,0,0,0,0,0,0,5,0.4,1,0.3,0.5,0.2,,
50,50,0,25,12,15,12,0.5,3,15,12,0.5,0.8,10,0.4,0,0,0,0,0,0,10,0.4,0.5,0.3,1,0.2,,
51,51,0,11,9,10,9,0,0,10,9,0.5,0.3,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.3,,
52,52,0,75,11,75,11,5,17,75,11,0.5,0.4,1,0.3,0,0,0,0,0,0,1,0.3,0.5,0.3,0.5,0.2,,
53,53,0,95,9.2,15,9.2,1,12.5,15,9.3,0.5,1.8,5,2.2,0.5,1.5,4,2.5,1,1.7,0,0,35,0.9,45,1.4,,
54,54,0,95,6.6,75,6.6,0.5,12.5,75,6.6,0.5,1,2,0.6,0,0,0,0,0,0,3,0.6,20,0.55,7,0.75,,
55,55,0,80,13.2,75,13.2,0.5,0.6,74,13.6,1,0.25,0.5,0.3,0,0,0,0,0,0,0.5,0.3,25,0.4,10,1.1,,
56,56,0,85,0.4,60,0.4,3,15.3,55,14.8,5,0.4,2,0.5,0,0,0,0,1,0.7,1,0.3,1,0.25,75,0.4,,
57,57,0,70,4.1,60,4.1,2,4.2,50,4.1,10,1,0.5,0.35,0,0,0,0,0.5,0.6,0.5,0.35,2,0.25,10,0.2,,
58,58,0,50,30,45,30,15,13,25,20,5,0.88,0,0,0,0,0,0,0,0,0,0,1,0.48,4,0.18,,
59,59,0,65,13,61,13,0.5,1.8,55,13,6,1.2,1,0.3,0,0,0,0,0,0,1,0.3,1,0.31,2,0.29,,
60,60,0,50,15,20,15,0,0,20,15,0,0,11,0.48,0.5,0.3,0,0,0,0,11,0.48,2,0.33,17,0.27,,
61,65,0,41,22.3,45,22.3,4,35.4,40,22.3,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
62,75,0,22,20.7,15,20.7,0,0,15,20.7,0.5,0.8,6,0.6,0.5,0.4,0,0,4,0.7,3,0.4,1,0.1,7,0.6,,
63,76,0,70,24.7,70,24.7,1,3.8,70,24.7,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
64,77,0,30,25.4,31,25.4,1,17.8,30,25.4,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
65,82,0,11,7.2,10,7.2,0,0,10,7.2,1,1.6,1,0.4,0,0,0,0,0,0,1,0.4,0,0,0,0,,
66,83,0,30,4.5,12,4.5,1,3.9,12,4.5,0.5,0.3,17,1.2,2,0.5,0,0,10,1.2,10,0.35,0,0,2,0.25,,
67,84,0,45,5.7,40,5.7,10,5.7,35,5.7,5,1.2,3,0.5,0,0,0,0,1,0.5,2,0.4,0.5,0.2,0.5,0.2,,
68,85,0,35,1,5,24.6,0,0,5,24.6,1,0.8,6,0.7,0,0,0,0,4,0.7,2,0.4,17,1,5,0.4,,
69,92,0,65,10.6,65,10.6,8,9,65,10.6,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,,
70,93,0,35,13.6,35,13.6,2,4.5,33,13.6,2,1.1,4,0.3,0,0,0,0,0,0,4,0.3,0.5,0.1,0,0,,
71,94,0,70,19.6,70,19.6,10,16.1,60,19.6,4,1,0.5,0.3,0,0,0,0,0,0,0.5,0.3,0.5,0.15,0,0,,
72,95,0,45,1.2,20,28.1,0,0,20,28.1,1,1,25,1.2,2,0.6,0,0,20,1.2,5,0.35,0,0,0,0,,
73,98,0,60,1.5,15,10.4,0,0,13,10.4,2,1.2,50,1.5,2,1.2,2,1.9,45,1.2,5,0.4,0,0,0,0,,
74,99,0,70,1.5,21,10,0,0,21,10,0.5,0.5,65,1.5,5,0.5,15,2,45,1.5,3,0.4,0,0,0,0,,
75,100,0,40,4.7,30,4.7,1,6.1,30,4.7,0.5,0.5,7,0.9,1,0.7,0,0,4,1.3,3,0.4,0,0,3,0.3,,
76,101,0,85,1,7,6.3,0,0,7,6.3,0.5,0.8,80,1,0,0,0,0,80,1,0,0,0.5,0.2,0,0,,
77,102,0,47,1.2,7,7.5,2,5.6,7,7.5,0.5,1.2,40,0.7,5,0.4,0,0,37,1.1,4,0.3,0,0,0,0,,
78,103,0,35,28.6,35,28.6,,,35,28.6,0.5,0.2,2,1.2,,,0,0,2,1.5,0.5,0.4,0.5,8,0,0,,
79,104,0,60,18,40,18,,,40,18,0.5,0.04,17,0.28,,,0,0,0,0,18,0.28,1,30,1,60,,
80,105,0,60,21.3,57,21.3,,,57,21.3,0.5,6,3,0.65,,,0,0,3,0.76,0.5,0.5,0,0,0,0,,
81,106,0,60,15.8,40,15.8,,,40,15.8,1,1.5,20,1.15,,,0,0,15,1.15,5,0.17,0.5,12,0,0,,
82,107,0,60,19.4,60,19.4,,,60,19.4,0.5,1.5,0.5,0.2,,,0,0,0,0,0.5,0.2,0,0,0,0,,
83,108,0,50,19.6,50,19.6,,,50,19.6,0,0,1,0.6,,,0,0,0,0,1,0.6,0,0,0,0,,
84,109,0,38,19.3,25,19.3,,,24,19.3,1,1.3,13,1.35,,,4,5.1,7,1.35,2,0.41,0.5,7,0.5,35,,
85,110,0,80,22,80,22,,,80,22,0.5,1.75,0.5,0.35,,,0,0,0,0,0.5,0.35,0.5,15,0.5,21,,
86,111,0,35,34,35,34,,,35,34,0.5,1.07,2,0.45,,,0,0,0.5,0.9,2,0.45,0.5,20,0,0,,
87,112,0,33,16.2,20,16.2,,,20,16.2,0.5,0.47,4,0.3,,,0,0,1,0.69,3,0.3,4,13,5,33,,
88,113,0,29,18,29,18,,,28,18,1,0.7,0.5,0.3,,,0,0,0,0,0.5,0.3,0.5,12,0.5,23,,
89,114,0,77,16.5,75,16.5,,,73,16.5,2,1.5,2,0.55,,,0,0,2,0.55,0,0,0.5,20,0.5,25,,
90,115,0,40,4,20,10,,,19,7.9,1,1.5,20,0.8,,,0,0,20,0.8,0.5,0.25,0.5,10,0.5,15,,
91,116,0,65,20,65,20,,,65,20,0.5,1.3,0,0,,,0,0,0,0,0,0,0.5,6,0.5,10,,
92,117,0,60,10.5,45,10.9,,,43,10.9,2,1.5,25,1,,,0,0,23,1,2,0.26,0.5,10,0.5,30,,
93,118,0,75,25,75,25,,,75,25,0.5,1.8,0,,,,0,0,0,0,0,0,0.5,5,0,0,,
94,119,0,55,26.8,55,26.8,,,45,26.8,10,2.8,0,0,,,0,0,0,0,0,0,0.5,10,0,0,,
95,120,0,80,24.2,80,24.2,,,80,24.2,0.5,0.04,0,0,,,0,0,0,0,0,0,0.5,8,0,0,,
96,121,0,32,3.8,20,3.1,,,18,3.1,2,1.4,13,0.8,,,0,0,11,0.8,2,0.42,0,0,1,21,,
97,122,0,85,17.6,60,18,,,59,18,1,1.5,35,1.45,,,0,0,30,1.4,5,0.3,0.5,10,0,0,,
98,123,0,45,10.3,35,25,,,33,27,2,1.35,10,1.25,,,2,6.1,7,1.25,1,0.18,0.5,30,0,0,,
99,124,0,45,1.1,20,18.9,,,20,18.9,0.5,0.98,40,1.1,,,0,0,38,1.1,2,0.4,0,0,1,0.3,,
100,125,0,75,18,43,18,,,35,18,1,1.4,30,1.2,,,0,0,28,1.2,2,0.5,1,45,1,70,,
101,126,0,58,19,40,19,,,40,19,0.5,0.08,15,0.55,,,0,0,8,1,7,0.47,0.5,14,3,35,,
102,127,0,45,17,25,17,,,25,17,0.5,0.9,18,1.4,,,0,0,16,1.4,2,0.18,2,11,2,41,,
103,128,0,30,24.5,30,24.5,,,30,24.5,0.5,0.65,0,,,,0,0,0,0,0,0,0.5,18,0.5,45,,
104,129,0,50,22.7,40,22.7,,,40,22.7,0.5,1.28,10,0.9,,,0,0,9,0.9,1,0.5,0.5,10,0.5,15,,
105,130,0,44,22.1,40,22.1,,,40,22,0.5,1,3,42,,,0,0,0.5,53,3,0.35,0.5,20,1,25,,
106,131,0,65,28,65,28,,,65,28,0.5,0.05,0,0,,,0,0,0,0,0,0,0,0,0,0,,
107,132,0,46,13.5,25,13.5,,,25,13.5,0.5,1.3,20,0.6,,,0,0,13,0.6,7,0.48,1,30,0.5,25,,
108,133,0,22,19.9,20,19.9,,,20,19.9,0.5,0.41,2,0.47,,,0,0,0.5,0.8,2,0.47,0.5,35,0.5,30,,
109,6,2,60,7.3,55,11.5,,,55,11.5,1,1.3,3,0.6,,,2,2,1,0.6,2,0.4,2,34,3,18,0.5,Other is moss
110,103,2,50,16.4,50,16.4,,,50,26.9,0.5,0.04,0,0,,,0,0,0,0,0,0,0.5,4,0,0,0,
111,102,2,45,0.2,2,12.6,,,3,12.6,0,0,45,0.2,,,0,0,0,0,45,0.2,2,0.4,0.5,0.5,0,
112,1,2,25,9.2,20,19.6,,,20,19.6,0,0,0,0,,,0,0,0,0,0,0,5,22,0.5,15,0,
113,115,2,30,,25,9.6,,,,,,,1,0.1,,,0,0,0,0,1,0.1,4,0.2,0.5,0.4,0,Next to high severity patch
114,122,2,76,,75,9.4,,,,,,,1,0.5,,,0,0,0.5,1.1,1,0.4,0.5,0.2,0.5,0.05,0,
115,125,2,75,,51,11.1,,,,,,,31,0.5,,,0,0,22,1,31,0.5,1,0.1,3,0.4,0,"spring in plot, add water tr / 1"
116,126,2,33,,25,10.9,,,,,,,0.5,0.2,,,0,0,0,0,0.5,0.25,0.5,0.1,10,0.2,0,regen intolerant
117,127,2,62,,40,12.8,,,,,,,15,1.3,,,0,0,15,1.3,15,0.5,0.5,0.05,6,0.5,0,
118,128,2,43,,35,11.7,,,,,,,0.5,0.2,,,0,0,0,0,0.5,0.2,5,0.1,3,0.5,0,"Basal area: 10 live abma, 3 dead abma, light herbivory and use trail running through north-south through east section of plot"
119,13,2,35,,25,8.2,,,,,,,0.5,0.1,,,0,0,0,0,0.5,0.1,7,0.15,3,0.4,0,
120,14,2,32,,10,9.4,,,,,,,21,0.1,,,0,0,9,1,21,0.1,0.5,0.1,0.5,0.3,0,"deer tracks, herbivory, ant hills"
121,15,2,22,,0,0,,,,,,,18,0.9,,,0,0,14,0.9,18,0.5,3,0.1,1,1.1,0,concave slope angle changes severity
122,16,2,80,,60,11.9,,,,,,,9,0.7,,,0,0,6,0.7,3,0.2,5,0.35,10,0.7,0,
123,17,2,40,,38,31.8,,,,,,,1,0.2,,,0,0,0.5,0.5,1,0.2,1,0.1,1,1,0,"ant hills, sm mammal burrows"
124,18,2,15,,0,0,,,,,,,15,0.15,,,0,0,0,0,15,0.15,0.5,0.08,0,0,0,no witness
125,19,2,,,20,5.9,,,,,,,32,1.3,,,0,0,16,1.1,32,0.3,5,0.15,6,0.07,0,
126,2,2,27,,23,10,,,,,,,1,0.1,,,0,0,0,0,1,0.1,1,0.1,1,0.1,0,both shrub species resprouters
127,20,2,33,,7,8.3,,,,,,,0.5,0.1,,,0,0,0.5,0.6,0.5,0.1,13,0.2,12,0.3,0,
128,21,2,72,,54,18.1,,,,,,,21,0.7,,,0,0,20,0.7,21,0.2,0.5,0.1,3,0.1,0,
129,27,2,3,,0.5,3,,,,,,,3,0.9,,,0,0,2,1.3,3,0.4,0.5,0.1,0.5,0.2,0,took cap photo after panos
130,28,2,5,,4,12.2,,,,,,,0.5,0.1,,,0,0,0,,0.5,0.1,0.5,0.1,0,0,0,deer tracks
131,29,2,20,,18,7.5,,,,,,,2,0.5,,,0,0,1,1,1,0.2,0,0,0.5,0.1,0,acorns present too
132,3,2,34,,8,8.8,,,,,,,0.5,0.1,,,0,0,0,0,0.5,0.1,18,0.3,8,0.1,0,small mammal burrows
133,30,2,3,,1.5,4,,,,,,,1,0.1,,,0,0,0.5,1.1,1,0.1,0.5,0.15,0.5,0.3,0,
134,32,2,50,,48,14.4,,,,,,,0.5,0.1,,,0,0,0,0,0.5,0.1,0,0,0,0,0,"bear poop, deer herbivory, sm mammal burrows"
135,4,2,0.5,,0.5,0.1,,,,,,,0.5,0.1,,,0,0,0,0,0.5,0.1,0.5,0.2,0,0,0,12% under water
136,77,2,38,,38,19.7,,,,,,,0,0,,,0,0,0,0,0,0,0.5,0.1,0.5,0.3,0,"Basal area: 2 dead abma, 2 live abma, 18 live abco"
137,76,2,75,,75,13.2,,,,,,,0,0,,,0,0,0,0,0,0,0.5,0.1,0,0,0,
138,75,2,44,,35,10,,,,,,,0.5,0.1,,,0,0,0,0,0,0,1,0.4,3,1.2,0,
140,12,2,5,22.1,5,22.1,,,10,22.1,0.5,0.03,0.5,0.04,,,0,0,0,0,1,0.06,0,0,0,0,0,
141,101,2,5,0.19,0.5,0.42,,,0,0,0.5,0.42,5,0.19,,,0,0,0.5,0.53,5,0.19,0.5,4,0,0,0,
142,117,2,70,2.8,55,2.8,,,50,4,5,0.7,20,0.77,,,0,0,15,0.77,5,0.25,3,26,1,19,0,
143,118,2,50,23.6,50,23.6,,,50,23.6,0,0,0.5,0.03,,,0,0,0,0,0.5,0.03,0.5,3.9,0,0,0,
144,121,2,55,2.1,30,4,,,30,4,2,1.6,20,0.96,,,0,0,18,0.96,2,0.4,8,32,2,45.5,0,
145,34,2,60,3.1,15,10.4,,,15,10.4,0.5,0.04,2,0.25,,,0,0,0,0,0,0.25,40,32.5,5,37.5,0,
146,33,2,60,14.1,60,14.1,,,60,14.1,0.5,0.04,0,0,,,0,0,0,0,0,0,0.5,16,0,0,15,Cryptogram is other
147,31,2,95,0.6,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,55,60,55,60,0,
148,105,2,75,12.5,75,12.5,,,75,12.5,0.5,0.5,1,0.8,,,0,0,1,1,0.5,0.5,0,0,0,0,0,
149,111,2,45,32.8,45,32.8,,,45,32.8,0,0,0.5,0.13,,,0,0,0,0,0.5,0.13,0,0,0,0,0,
150,65,2,70,33.6,70,33.6,,,70,33.6,0.5,0.4,0.5,0.01,,,0,0,0,0,0.5,0.01,0,0,0.5,33.1,0,
151,99,2,50,1.1,30,14.5,,,30,14.5,0,0,20,1.1,,,0,0,6,1.1,14,0.3,0.5,5.4,0,0,0,
152,35,2,25,0.4,2,4.9,,,2,4.9,0.5,0.4,5,0.35,,,0,0,0,0,5,0.35,12,53,2,42,0,
153,11,2,65,14.7,65,14.7,,,65,14.7,0.5,0.04,0.5,0.03,,,0,0,0,0,0,0.5,0.5,4,0,0,0,
154,10,2,25,0.4,0.5,0.04,,,0,0,0.5,0.04,20,0.45,,,0,0,0.5,0.75,20,0.35,3,22.5,2,61.5,0,
155,9,2,25,0.36,0,0,,,0,0,0,0,25,0.36,,,0,0,5,1.5,20,0.36,0.5,0.3,0,0,0,
156,24,2,30,22.1,30,22.1,,,30,22.1,0.5,0.03,0.5,0.5,,,0,0,0,0,0.5,0.03,0.5,20,0,0,0,"A PIJE is covering about 5% of the plot, but is not rooted in the plot. It was counted towards ground cover"
157,22,2,15,0.2,0,0,,,0,0,0,0,15,0.2,,,0,0,0,0,15,0.2,0,0,0,0,0,
158,23,2,45,20.6,40,20.6,,,40,20.6,0.5,0.03,5,0.28,,,0,0,0,0,5,0.5,0.5,5,0,0,0,
159,129,2,65,19.5,55,19.5,,,55,19.5,0,0,5,1.2,,,0,0,4,1.2,1,0.13,0.5,22,0.5,23,0,
160,82,2,20,9.3,19,9.3,,,19,9.3,0.5,0.2,1,0.6,,,0,0,0.5,0.6,0.5,0.23,0,0,0,0,0,
161,119,2,45,30,45,30,,,45,0,0.5,0.04,0.5,0.03,,,0,0,0,0,0.03,0,0.5,8,0,0,0,
162,40,2,60,8.2,55,17.4,,,50,17.5,0.5,0.9,1,0.7,,,0,0,0.5,0.7,1,0.4,5,18,2,15,0,
163,100,2,20,3.9,10,3.9,,,10,3.9,0.5,1.15,2,25,,,0,0,0,0,2,0.25,5,29,1,70,0,
164,7,2,60,15,50,15,,,50,15,0.5,1.3,0.5,0.2,,,0,0,0,0,0.5,0.2,12,30,15,90,0,Morels!
165,5,2,75,14,75,14,,,75,14,0.5,0.03,0,0,,,0,0,0,0,0,0,0.5,17,0,0,0,
166,8,2,75,25.1,75,25.1,,,75,25.1,0.5,0.07,0,0,,,0,0,0,0,0,0,0.5,2,0,0,0,
167,37,2,2,0.38,0.5,0.24,,,0.5,12.2,0.5,0.24,1,0.16,,,0,0,0,0,1,0.16,1,30,0.5,28,0,
168,26,2,30,0.6,2,8.2,,,1,8.2,0.5,1,20,0.6,,,1,0.1,20,0.6,0,0,7,16,5,58.3,0.5,CRYPT is other
169,25,2,50,1.12,1,9.2,,,1,9.2,0.5,1.2,50,1.12,,,0,0,30,1.12,0.2,0.39,0.5,15.1,1,8.2,0,
170,36,2,75,0.6,10,27.2,,,10,27.2,0.5,1.2,0.5,1.2,,,0,0,3,0.5,0.5,0.1,60,48.2,60,62.3,0,
