site,year,plot_id,obs,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BlissSP,2019,bliss1,ag,prefire,,abco,live,TR,TOV,33,
BlissSP,2019,bliss1,ag,prefire,,abco,dead,TR,TOV,1,
BlissSP,2019,bliss10,ms,prefire,,abco,live,TR,TOV,20,
BlissSP,2019,bliss10,ms,prefire,,abco,dead,TR,TOV,0,
BlissSP,2019,bliss10,ms,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss10,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss10,ms,prefire,,abco,dead,TR,TSE,tr,
BlissSP,2019,bliss11,ms,prefire,,abco,live,TR,TOV,30,
BlissSP,2019,bliss11,ms,prefire,,abco,dead,TR,TOV,1,
BlissSP,2019,bliss11,ms,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss11,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss12,ms,prefire,,abco,live,TR,TOV,1,
BlissSP,2019,bliss12,ms,prefire,,abco,dead,TR,TSA,1,
BlissSP,2019,bliss12,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss13,ms,prefire,,abco,live,TR,TOV,25,
BlissSP,2019,bliss13,ms,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss13,ms,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss13,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss14,ms,prefire,,abco,live,TR,TOV,13,
BlissSP,2019,bliss14,ms,prefire,,abco,dead,TR,TOV,10,
BlissSP,2019,bliss14,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,abco,live,TR,TOV,25,
BlissSP,2019,bliss15,ag,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss15,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,abco,dead,TR,TOV,2,
BlissSP,2019,bliss2,ag,prefire,,abco,live,TR,TOV,39,
BlissSP,2019,bliss2,ag,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss2,ag,prefire,,abco,dead,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,abco,live,TR,TOV,33,
BlissSP,2019,bliss3,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss4,ag,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss4,ag,prefire,,abco,live,TR,TOV,12,
BlissSP,2019,bliss4,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss5,ag,prefire,,abco,live,TR,TOV,8,
BlissSP,2019,bliss5,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss6,nr,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss6,nr,prefire,,abco,live,TR,TOV,4,
BlissSP,2019,bliss6,nr,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss7,nr,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss7,nr,prefire,,abco,live,TR,TOV,32,
BlissSP,2019,bliss7,nr,prefire,,abco,dead,TR,TSA,tr,
BlissSP,2019,bliss8,nr,prefire,,abco,live,TR,TOV,2,
BlissSP,2019,bliss8,nr,prefire,,abco,live,TR,TSE,6,
BlissSP,2019,bliss9,nr,prefire,,abco,live,TR,TOV,5,
BlissSP,2019,bliss9,nr,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss10,ms,prefire,,abma,live,TR,TSA,tr,
BlissSP,2019,bliss6,nr,prefire,,abma,live,TR,TOV,tr,
BlissSP,2019,bliss10,ms,prefire,,allvir,live,FB,,tr,
BlissSP,2019,bliss11,ms,prefire,,allvir,live,FB,,tr,
BlissSP,2019,bliss11,ms,prefire,,allvir,dead,FB,,tr,
BlissSP,2019,bliss7,nr,prefire,,allvir,live,FB,,tr,
BlissSP,2019,bliss3,ag,prefire,,amut,live,SH,SL,tr,
BlissSP,2019,bliss5,ag,prefire,,amut,live,SH,SL,tr,
BlissSP,2019,bliss5,ag,prefire,,amut,live,SH,SM,tr,
BlissSP,2019,bliss10,ms,prefire,,apoand,live,SH,SL,tr,
BlissSP,2019,bliss8,nr,prefire,,apoand,live,SH,SL,tr,
BlissSP,2019,bliss9,nr,prefire,,apoand,live,SH,SL,tr,
BlissSP,2019,bliss2,ag,prefire,,arahol,live,FB,,tr,
BlissSP,2019,bliss12,ms,prefire,,arpa,live,SH,SL,1,
BlissSP,2019,bliss12,ms,prefire,,arpa,live,SH,SM,1,
BlissSP,2019,bliss12,ms,prefire,,arpa,dead,SH,SL,tr,
BlissSP,2019,bliss12,ms,prefire,,arpa,dead,SH,SM,tr,
BlissSP,2019,bliss13,ms,prefire,,arpa,live,SH,SL,30,
BlissSP,2019,bliss13,ms,prefire,,arpa,live,SH,SM,30,
BlissSP,2019,bliss14,ms,prefire,,arpa,live,SH,SL,20,
BlissSP,2019,bliss14,ms,prefire,,arpa,live,SH,SM,19,
BlissSP,2019,bliss15,ag,prefire,,arpa,live,SH,SL,3.5,
BlissSP,2019,bliss15,ag,prefire,,arpa,live,SH,SM,3.5,
BlissSP,2019,bliss15,ag,prefire,,arpa,dead,SH,SL,tr,
BlissSP,2019,bliss15,ag,prefire,,arpa,dead,SH,SM,tr,
BlissSP,2019,bliss3,ag,prefire,,arpa,live,SH,SL,tr,
BlissSP,2019,bliss3,ag,prefire,,arpa,live,SH,SM,tr,
BlissSP,2019,bliss5,ag,prefire,,arpa,live,SH,SL,1,
BlissSP,2019,bliss5,ag,prefire,,arpa,live,SH,SM,1,
BlissSP,2019,bliss6,nr,prefire,,arpa,live,SH,SL,1,
BlissSP,2019,bliss6,nr,prefire,,arpa,live,SH,SM,1,
BlissSP,2019,bliss8,nr,prefire,,arpa,live,SH,SL,1,
BlissSP,2019,bliss8,nr,prefire,,arpa,live,SH,SM,1,
BlissSP,2019,bliss9,nr,prefire,,arpa,live,SH,SL,31,
BlissSP,2019,bliss9,nr,prefire,,arpa,live,SH,SM,26,
BlissSP,2019,bliss9,nr,prefire,,arpa,dead,SH,SL,3,
BlissSP,2019,bliss1,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss11,ms,prefire,,cade,live,TR,TOV,2,
BlissSP,2019,bliss12,ms,prefire,,cade,live,TR,TOV,tr,
BlissSP,2019,bliss12,ms,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss13,ms,prefire,,cade,live,TR,TOV,2,
BlissSP,2019,bliss13,ms,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss2,ag,prefire,,cade,dead,TR,TOV,tr,
BlissSP,2019,bliss2,ag,prefire,,cade,live,TR,TOV,5,
BlissSP,2019,bliss2,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss4,ag,prefire,,cade,live,TR,TOV,3,
BlissSP,2019,bliss5,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss6,nr,prefire,,cade,dead,TR,TOV,tr,
BlissSP,2019,bliss7,nr,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,calumb,live,FB,,tr,
BlissSP,2019,bliss2,ag,prefire,,ceco,live,SH,SL,0.5,
BlissSP,2019,bliss3,ag,prefire,,ceco,live,SH,SL,20,
BlissSP,2019,bliss3,ag,prefire,,ceco,live,SH,SM,15,
BlissSP,2019,bliss5,ag,prefire,,ceco,live,SH,SL,37,
BlissSP,2019,bliss5,ag,prefire,,ceco,live,SH,SM,29,
BlissSP,2019,bliss8,nr,prefire,,ceco,live,SH,SL,31,
BlissSP,2019,bliss8,nr,prefire,,ceco,live,SH,SM,28,
BlissSP,2019,bliss8,nr,prefire,,ceco,live,SH,ST,1,
BlissSP,2019,bliss9,nr,prefire,,ceco,live,SH,SL,4,
BlissSP,2019,bliss9,nr,prefire,,ceco,live,SH,SM,3,
BlissSP,2019,bliss9,nr,prefire,,cein,live,SH,SL,4,
BlissSP,2019,bliss9,nr,prefire,,cein,live,SH,SM,1,
BlissSP,2019,bliss12,ms,prefire,,cepr,live,SH,SL,2,
BlissSP,2019,bliss13,ms,prefire,,cepr,live,SH,SL,1,
BlissSP,2019,bliss2,ag,prefire,,cepr,live,SH,SL,tr,
BlissSP,2019,bliss9,nr,prefire,,cepr,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,ceve,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,ceve,live,SH,SM,tr,
BlissSP,2019,bliss11,ms,prefire,,ceve,live,SH,SL,tr,
BlissSP,2019,bliss11,ms,prefire,,ceve,live,SH,SM,tr,
BlissSP,2019,bliss12,ms,prefire,,ceve,live,SH,SL,4,
BlissSP,2019,bliss12,ms,prefire,,ceve,live,SH,SM,4,
BlissSP,2019,bliss13,ms,prefire,,ceve,live,SH,SL,4,
BlissSP,2019,bliss13,ms,prefire,,ceve,live,SH,SM,4,
BlissSP,2019,bliss13,ms,prefire,,ceve,dead,SH,SL,tr,
BlissSP,2019,bliss13,ms,prefire,,ceve,dead,SH,SM,tr,
BlissSP,2019,bliss14,ms,prefire,,ceve,live,SH,SL,21,
BlissSP,2019,bliss14,ms,prefire,,ceve,live,SH,SM,21,
BlissSP,2019,bliss14,ms,prefire,,ceve,live,SH,ST,tr,
BlissSP,2019,bliss15,ag,prefire,,ceve,live,SH,SL,4,
BlissSP,2019,bliss15,ag,prefire,,ceve,live,SH,SM,4,
BlissSP,2019,bliss2,ag,prefire,,ceve,live,SH,SL,1,
BlissSP,2019,bliss2,ag,prefire,,ceve,live,SH,SM,1,
BlissSP,2019,bliss3,ag,prefire,,ceve,live,SH,SL,3,
BlissSP,2019,bliss3,ag,prefire,,ceve,live,SH,SM,2,
BlissSP,2019,bliss5,ag,prefire,,ceve,live,SH,SL,1,
BlissSP,2019,bliss5,ag,prefire,,ceve,live,SH,SM,1,
BlissSP,2019,bliss8,nr,prefire,,ceve,live,SH,SL,10,
BlissSP,2019,bliss8,nr,prefire,,ceve,live,SH,SM,10,
BlissSP,2019,bliss8,nr,prefire,,ceve,live,SH,ST,1,
BlissSP,2019,bliss9,nr,prefire,,ceve,live,SH,SL,18,
BlissSP,2019,bliss9,nr,prefire,,ceve,live,SH,SM,13,
BlissSP,2019,bliss9,nr,prefire,,ceve,live,SH,ST,1,
BlissSP,2019,bliss10,ms,prefire,,chrsem,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,chrsem,live,SH,SM,1,
BlissSP,2019,bliss11,ms,prefire,,chrsem,live,SH,SL,1,
BlissSP,2019,bliss11,ms,prefire,,chrsem,live,SH,SM,2,
BlissSP,2019,bliss12,ms,prefire,,chrsem,live,SH,SL,5,
BlissSP,2019,bliss12,ms,prefire,,chrsem,live,SH,SM,4,
BlissSP,2019,bliss12,ms,prefire,,chrsem,dead,SH,SL,tr,
BlissSP,2019,bliss12,ms,prefire,,chrsem,dead,SH,SM,tr,
BlissSP,2019,bliss14,ms,prefire,,chrsem,live,SH,SL,1,
BlissSP,2019,bliss14,ms,prefire,,chrsem,live,SH,SM,tr,
BlissSP,2019,bliss15,ag,prefire,,chrsem,live,SH,SL,11,
BlissSP,2019,bliss15,ag,prefire,,chrsem,live,SH,SM,10,
BlissSP,2019,bliss3,ag,prefire,,chrsem,live,SH,SL,5,
BlissSP,2019,bliss3,ag,prefire,,chrsem,live,SH,SM,5,
BlissSP,2019,bliss5,ag,prefire,,chrsem,live,SH,SL,2,
BlissSP,2019,bliss5,ag,prefire,,chrsem,live,SH,SM,2,
BlissSP,2019,bliss6,nr,prefire,,chrsem,live,SH,SL,3,
BlissSP,2019,bliss9,nr,prefire,,chrsem,live,SH,SL,2,
BlissSP,2019,bliss9,nr,prefire,,chrsem,live,SH,SM,2,
BlissSP,2019,bliss12,ms,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss13,ms,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss14,ms,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss2,ag,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss9,nr,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss15,ag,prefire,,gaydif,live,FB,,tr,
BlissSP,2019,bliss11,ms,prefire,,pije,live,TR,TOV,5,
BlissSP,2019,bliss11,ms,prefire,,pije,live,TR,TSA,tr,
BlissSP,2019,bliss11,ms,prefire,,pije,live,TR,TSE,tr,
BlissSP,2019,bliss12,ms,prefire,,pije,live,TR,TOV,2,
BlissSP,2019,bliss13,ms,prefire,,pije,dead,TR,TOV,5,
BlissSP,2019,bliss14,ms,prefire,,pije,live,TR,TOV,4,
BlissSP,2019,bliss14,ms,prefire,,pije,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,pije,live,TR,TOV,12,
BlissSP,2019,bliss3,ag,prefire,,pije,live,TR,TOV,2,
BlissSP,2019,bliss5,ag,prefire,,pije,live,TR,TOV,13,
BlissSP,2019,bliss6,nr,prefire,,pije,live,TR,TOV,2,
BlissSP,2019,bliss7,nr,prefire,,pije,live,TR,TSE,tr,
BlissSP,2019,bliss7,nr,prefire,,pije,live,TR,TOV,22,
BlissSP,2019,bliss8,nr,prefire,,pije,live,TR,TOV,2,
BlissSP,2019,bliss10,ms,prefire,,pila,live,TR,TOV,2,
BlissSP,2019,bliss10,ms,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss12,ms,prefire,,pila,live,TR,TOV,30,
BlissSP,2019,bliss12,ms,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss13,ms,prefire,,pila,live,TR,TOV,8,
BlissSP,2019,bliss13,ms,prefire,,pila,dead,TR,TOV,tr,
BlissSP,2019,bliss14,ms,prefire,,pila,live,TR,TOV,6,
BlissSP,2019,bliss14,ms,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,pila,live,TR,TOV,9,
BlissSP,2019,bliss2,ag,prefire,,pila,live,TR,TOV,2,
BlissSP,2019,bliss2,ag,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss4,ag,prefire,,pila,live,TR,TOV,15,
BlissSP,2019,bliss4,ag,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss5,ag,prefire,,pila,live,TR,TOV,20,
BlissSP,2019,bliss5,ag,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss6,nr,prefire,,pila,live,TR,TOV,6,
BlissSP,2019,bliss7,nr,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss7,nr,prefire,,pila,live,TR,TOV,11,
BlissSP,2019,bliss7,nr,prefire,,pila,dead,TR,TSA,tr,
BlissSP,2019,bliss8,nr,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss9,nr,prefire,,pila,live,TR,TOV,5,
BlissSP,2019,bliss9,nr,prefire,,pila,live,TR,TSA,tr,
BlissSP,2019,bliss9,nr,prefire,,pila,live,TR,TSE,tr,
BlissSP,2019,bliss8,nr,prefire,,pipo,live,TR,TSA,tr,
BlissSP,2019,bliss2,ag,prefire,,pruema,live,SH,SL,tr,
BlissSP,2019,bliss9,nr,prefire,,pruema,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,ptan,dead,FB,,tr,
BlissSP,2019,bliss15,ag,prefire,,ptan,live,FB,,tr,
BlissSP,2019,bliss4,ag,prefire,,ptan,live,FB,,tr,
BlissSP,2019,bliss7,nr,prefire,,ptan,live,FB,,tr,
BlissSP,2019,bliss8,nr,prefire,,ptan,live,FB,,tr,
BlissSP,2019,bliss10,ms,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss15,ag,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss2,ag,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss3,ag,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss4,ag,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss5,ag,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss7,nr,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss8,nr,prefire,,pyrpic,live,FB,,tr,
BlissSP,2019,bliss1,ag,prefire,,quevac,live,SH,SL,1,
BlissSP,2019,bliss1,ag,prefire,,quevac,live,SH,SM,tr,
BlissSP,2019,bliss10,ms,prefire,,quevac,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,quevac,live,SH,SM,5,
BlissSP,2019,bliss11,ms,prefire,,quevac,live,SH,SL,5,
BlissSP,2019,bliss11,ms,prefire,,quevac,live,SH,SM,6,
BlissSP,2019,bliss11,ms,prefire,,quevac,dead,SH,SL,tr,
BlissSP,2019,bliss11,ms,prefire,,quevac,dead,SH,SM,1,
BlissSP,2019,bliss12,ms,prefire,,quevac,live,SH,SL,2,
BlissSP,2019,bliss13,ms,prefire,,quevac,live,SH,SL,25,
BlissSP,2019,bliss13,ms,prefire,,quevac,live,SH,SM,25,
BlissSP,2019,bliss13,ms,prefire,,quevac,live,SH,ST,25,
BlissSP,2019,bliss14,ms,prefire,,quevac,live,SH,SL,3,
BlissSP,2019,bliss14,ms,prefire,,quevac,live,SH,SM,1,
BlissSP,2019,bliss15,ag,prefire,,quevac,live,SH,SL,1,
BlissSP,2019,bliss15,ag,prefire,,quevac,live,SH,SM,1,
BlissSP,2019,bliss2,ag,prefire,,quevac,dead,SH,SL,1,
BlissSP,2019,bliss2,ag,prefire,,quevac,dead,SH,SM,1,
BlissSP,2019,bliss2,ag,prefire,,quevac,live,SH,SL,29,
BlissSP,2019,bliss2,ag,prefire,,quevac,live,SH,SM,19,
BlissSP,2019,bliss3,ag,prefire,,quevac,live,SH,SL,12,
BlissSP,2019,bliss3,ag,prefire,,quevac,live,SH,SM,12,
BlissSP,2019,bliss3,ag,prefire,,quevac,live,SH,ST,tr,
BlissSP,2019,bliss4,ag,prefire,,quevac,dead,SH,SL,tr,
BlissSP,2019,bliss4,ag,prefire,,quevac,dead,SH,SM,tr,
BlissSP,2019,bliss4,ag,prefire,,quevac,live,SH,SL,34,
BlissSP,2019,bliss4,ag,prefire,,quevac,live,SH,SM,35,
BlissSP,2019,bliss4,ag,prefire,,quevac,live,SH,ST,tr,
BlissSP,2019,bliss5,ag,prefire,,quevac,live,SH,SL,,
BlissSP,2019,bliss5,ag,prefire,,quevac,live,SH,SM,,
BlissSP,2019,bliss6,nr,prefire,,quevac,live,SH,SL,65,
BlissSP,2019,bliss6,nr,prefire,,quevac,live,SH,SM,62,
BlissSP,2019,bliss6,nr,prefire,,quevac,dead,SH,SL,1,
BlissSP,2019,bliss6,nr,prefire,,quevac,dead,SH,SM,1,
BlissSP,2019,bliss7,nr,prefire,,quevac,live,SH,SL,tr,
BlissSP,2019,bliss8,nr,prefire,,quevac,live,SH,SL,1,
BlissSP,2019,bliss8,nr,prefire,,quevac,live,SH,SM,1,
BlissSP,2019,bliss9,nr,prefire,,quevac,live,SH,SL,16,
BlissSP,2019,bliss9,nr,prefire,,quevac,live,SH,SM,15,
BlissSP,2019,bliss9,nr,prefire,,quevac,live,SH,ST,5,
BlissSP,2019,bliss9,nr,prefire,,quevac,dead,SH,SL,3,
BlissSP,2019,bliss9,nr,prefire,,rhru,live,SH,SL,tr,
BlissSP,2019,bliss9,nr,prefire,,rhru,live,SH,SL,tr,
BlissSP,2019,bliss5,ag,prefire,,riro,live,SH,SL,tr,
BlissSP,2019,bliss9,nr,prefire,,riro,live,SH,SL,tr,
BlissSP,2019,bliss2,ag,prefire,,sarsan,live,FB,,tr,
BlissSP,2019,bliss7,nr,prefire,,sarsan,dead,FB,,tr,
BlissSP,2019,bliss3,ag,prefire,,salsco,live,SH,SL,tr,
BlissSP,2019,bliss3,ag,prefire,,salsco,live,SH,SM,tr,
BlissSP,2019,bliss3,ag,prefire,,salsco,live,SH,ST,tr,
BlissSP,2019,bliss5,ag,prefire,,salsco,live,SH,ST,tr,
BlissSP,2019,bliss5,ag,prefire,,salsco,live,SH,SM,0.5,
BlissSP,2019,bliss5,ag,prefire,,salsco,live,SH,SL,0.5,
BlissSP,2019,bliss8,nr,prefire,,salsco,live,SH,SL,3,
BlissSP,2019,bliss8,nr,prefire,,salsco,live,SH,SM,3,
BlissSP,2019,bliss8,nr,prefire,,salsco,live,SH,ST,2,
BlissSP,2019,bliss10,ms,prefire,,sisrynchium,live,FB,,tr,
BlissSP,2019,bliss12,ms,prefire,,sisrynchium,live,FB,,tr,
BlissSP,2019,bliss13,ms,prefire,,sisrynchium,live,FB,,tr,
BlissSP,2019,bliss14,ms,prefire,,sisrynchium,live,FB,,tr,
BlissSP,2019,bliss5,ag,prefire,,sisrynchium,live,FB,,tr,
BlissSP,2019,bliss10,ms,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss11,ms,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss12,ms,prefire,,symrot,live,SH,SL,1,
BlissSP,2019,bliss13,ms,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss14,ms,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss4,ag,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss5,ag,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss6,nr,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss8,nr,prefire,,symrot,live,SH,SL,tr,
BlissSP,2019,bliss8,nr,prefire,,unkfb1,live,FB,,tr,
