plot_id,burnunit,location,burn
BM1,BM4,bearmtn,yes
BM2,BM5,bearmtn,yes
BM3,BM5,bearmtn,yes
BM4,BM5,bearmtn,yes
BM5,BM5,bearmtn,yes
BM6,BM5,bearmtn,yes
BM7,BM5,bearmtn,yes
BM8,BM4,bearmtn,yes
BM9,BM4,bearmtn,yes
BM10,BM4,bearmtn,yes
BM11,BM4,bearmtn,yes
BM12,BM6,bearmtn,yes
BM13,BM6,bearmtn,yes
BM14,BM4,bearmtn,yes
BM15,BM6,bearmtn,yes
BM16,BM6,bearmtn,yes
BM17,BM6,bearmtn,yes
BM18,BM6,bearmtn,yes
BM19,BM6,bearmtn,yes
BM20,BM6,bearmtn,yes
BM21,BM6,bearmtn,yes
BM22,BM7,bearmtn,yes
BM23,BM7,bearmtn,yes
BM24,BM7,bearmtn,yes
BM25,BM7,bearmtn,yes
BM26,BM7,bearmtn,yes
BM27,BM7,bearmtn,yes
fm10-1,FM10,frenchmeadows,no
fm10-10,FM10,frenchmeadows,no
fm10-11,FM10,frenchmeadows,no
fm10-12,FM10,frenchmeadows,no
fm10-13,FM10,frenchmeadows,no
fm10-14,FM10,frenchmeadows,no
fm10-15,FM10,frenchmeadows,no
fm10-2,FM10,frenchmeadows,no
fm10-3,FM10,frenchmeadows,no
fm10-4,FM10,frenchmeadows,no
fm10-5,FM10,frenchmeadows,no
fm10-6,FM10,frenchmeadows,no
fm10-7,FM10,frenchmeadows,no
fm10-8,FM10,frenchmeadows,no
fm10-9,FM10,frenchmeadows,no
fm19-1,FM19a,frenchmeadows,no
fm19-2,FM19a,frenchmeadows,no
fm19-3,FM19a,frenchmeadows,no
fm19-4,FM19a,frenchmeadows,no
fm19-5,FM19a,frenchmeadows,no
fm19-6,FM19a,frenchmeadows,no
fm19-7,FM19a,frenchmeadows,no
fm19-8,FM19b,frenchmeadows,no
fm19-9,FM19a,frenchmeadows,no
fm19-10,FM19b,frenchmeadows,no
fm19-11,FM19b,frenchmeadows,no
fm19-12,FM19b,frenchmeadows,no
fm19-13,FM19b,frenchmeadows,no
fm19-14,FM19b,frenchmeadows,no
fm19-15,FM19c,frenchmeadows,no
fm19-16,FM19c,frenchmeadows,no
fm19-17,FM19c,frenchmeadows,no
fm19-18,FM19c,frenchmeadows,no
fm19-19,FM19c,frenchmeadows,no
fm19-20,FM19c,frenchmeadows,no
fm19-21,FM19c,frenchmeadows,no
burton1,BUa,lakesdistrict,no
burton2,BUa,lakesdistrict,no
burton3,control,lakesdistrict,no
burton4,control,lakesdistrict,no
burton5,control,lakesdistrict,no
burton6,control,lakesdistrict,no
burton7,BUb,lakesdistrict,yes
burton8,BUb,lakesdistrict,yes
burton9,BUb,lakesdistrict,yes
burton10,BUb,lakesdistrict,yes
burton11,BUa,lakesdistrict,no
burton12,control,lakesdistrict,no
burton13,control,lakesdistrict,no
burton14,BUb,lakesdistrict,yes
burton15,BUa,lakesdistrict,no
burton16,BUa,lakesdistrict,no
burton17,BUc,lakesdistrict,no
burton18,BUc,lakesdistrict,no
burton19,BUc,lakesdistrict,no
burton20,BUc,lakesdistrict,no
burton21,BUc,lakesdistrict,no
burton22,BUc,lakesdistrict,no
burton23,control,lakesdistrict,no
burton24,control,lakesdistrict,no
bliss1,BL_north,lakesdistrict,no
bliss2,BL_north,lakesdistrict,no
bliss3,BL_north,lakesdistrict,no
bliss4,BL_north,lakesdistrict,no
bliss5,BL_north,lakesdistrict,no
bliss6,BL_mid,lakesdistrict,no
bliss7,BL_mid,lakesdistrict,no
bliss8,BL_north,lakesdistrict,no
bliss9,BL_south,lakesdistrict,no
bliss10,BL_mid,lakesdistrict,no
bliss11,BL_mid,lakesdistrict,no
bliss12,BL_south,lakesdistrict,no
bliss13,BL_south,lakesdistrict,no
bliss14,BL_south,lakesdistrict,no
bliss15,BL_south,lakesdistrict,no
hcp1,hcp_west,slypark,no
hcp10,hcp_east,slypark,no
hcp11,hcp_east,slypark,no
hcp2,hcp_west,slypark,no
hcp3,hcp_west,slypark,no
hcp4,hcp_west,slypark,no
hcp5,hcp_east,slypark,no
hcp6,hcp_east,slypark,no
hcp7,hcp_east,slypark,no
hcp8,hcp_east,slypark,no
hcp9,hcp_east,slypark,no
spi1,spi_west,slypark,yes
spi10,spi_east,slypark,yes
spi11,spi_east,slypark,yes
spi2,spi_west,slypark,yes
spi3,spi_west,slypark,yes
spi4,spi_west,slypark,yes
spi5,spi_west,slypark,yes
spi6,spi_west,slypark,yes
spi7,spi_east,slypark,yes
spi8,spi_east,slypark,yes
spi9,spi_east,slypark,yes
springs1,control,springsfire,yes
springs10,control,springsfire,yes
springs11,2007rx,springsfire,yes
springs12,2007rx,springsfire,yes
springs13,2007rx,springsfire,yes
springs14,2007rx,springsfire,yes
springs15,2007rx,springsfire,yes
springs16,2007rx,springsfire,yes
springs17,2007rx,springsfire,yes
springs18,control,springsfire,yes
springs19,control,springsfire,yes
springs2,control,springsfire,yes
springs20,control,springsfire,yes
springs21,control,springsfire,yes
springs22,control,springsfire,yes
springs23,control,springsfire,yes
springs24,control,springsfire,yes
springs25,control,springsfire,yes
springs26,2010rx,springsfire,yes
springs27,2010rx,springsfire,yes
springs28,2010rx,springsfire,yes
springs29,2010rx,springsfire,yes
springs3,control,springsfire,yes
springs30,2010rx,springsfire,yes
springs31,2013rx,springsfire,yes
springs37,control,springsfire,yes
springs38,2013rx,springsfire,yes
springs39,2013rx,springsfire,yes
springs4,control,springsfire,yes
springs40,control,springsfire,yes
springs5,control,springsfire,yes
springs6 ,control,springsfire,yes
springs7,control,springsfire,yes
springs8,control,springsfire,yes
springs9,control,springsfire,yes
