site,plotid,tag,status,species,dbh,ht,ht2crown,ht2deadcr,crownclass,crownwidth,bolechar,health,stumpdbh,stumpht,decay,scorch_ht,scorch,torch_ht,torch,resprout,notes
springsfire,springs1,1,live,pije,38.3,14.7,7.6,,IN,2,,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs1,2,live,pije,34.9,11.3,3,,IN,1.5,,,,,,,,,,,
springsfire,springs1,3,live,pije,37.7,15.5,7.5,,IN,1.5,,,,,,,,,,,
springsfire,springs1,4,live,pije,41.7,14,4,,IN,1.5,,,,,,,,,,,
springsfire,springs1,5,live,pije,63.5,19,6,,CO,3,2.5,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,54,0.33,3,,,,,,stump
springsfire,springs1,,stump,pije,,,,,,,,,17,0.18,4,,,,,,
springsfire,springs1,6,live,pije,45.9,16,6,,IN,1.5,,,,,,,,7,1,,
springsfire,springs1,,stump,pije,,,,,,,,,19,0.08,4,,,,,,
springsfire,springs1,7,live,pije,31.6,9,3,,IN,1.5,,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,17,0.13,4,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,28,0.11,?,,,,,,
springsfire,springs1,8,live,pije,40,14,5,,CO,1.5,,,,,,,,,,,
springsfire,springs1,9,live,pije,35.6,13.6,3,,CO,1.5,,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,51,0.72,4,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,13,0.9,1,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,36,0.35,1,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,48,0.7,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,44,0.26,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,15,0.17,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,31,0.23,2,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,40,0.24,1,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,52,0.3,2,,,,,,
springsfire,springs1,10,live,pije,46.5,16,6,,CO,1.5,,,,,,,,,,,
springsfire,springs1,,stump,pije,,,,,,,,,44,0.2,4,,,,,,
springsfire,springs1,11,live,pije,35.2,13,3,,IN,1.5,,,,,,,,,,,
springsfire,springs2,12,live,pije,41.6,14.5,3.2,,CO,2,,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs2,,stump,pije,,,,,,,,,26,0.23,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,34,0.36,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,11,0.26,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,10,0.25,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,62,0.4,3,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,22,0.17,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,24,0.19,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,65,0.36,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,17,0.2,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,0.26,,20,0.26,1,,,,,,
springsfire,springs2,13,live,pije,38.9,14.9,missing,,CO,2,3,,,,,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,13,0.22,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,31,0.23,4,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,10,0.15,3,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,12,0.16,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,12,0.14,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,24,0.16,5,,,,,,
springsfire,springs2,14,live,pije,30.2,9.3,3,,CO,1.25,,,,,,,,,,,
springsfire,springs2,15,live,pije,52.3,13.6,4,,CO,3,,,,,,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,13,0.14,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,15,0.17,3,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,13,0.15,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,43,0.18,5,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,16,0.25,5,,,,,,
springsfire,springs2,16,live,pije,33,13.3,3,,CO,1.5,,,,,,,,,,,
springsfire,springs2,17,live,pije,39.9,11,3,,CO,3.5,,,,,,,,,,,
springsfire,springs2,,stump,pije,,,,,,,,,17,0.27,4,,,,,,
springsfire,springs3,18,live,pije,32,8.1,4.1,,,1.5,2,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs3,,stump,pije,,,,,,,,,27,0.18,4,,,,,,
springsfire,springs3,19,live,pije,27.8,8,3,,IN,2.5,,,,,,,,,,,
springsfire,springs3,20,live,pije,52.5,16,5.5,,CO,4.5,,,,,,,,,,,
springsfire,springs3,21,live,pije,72.2,19.8,3.8,,DO,5.5,,,,,,,,,,,
springsfire,springs3,22,live,pije,42.2,12.5,3,,CO,4,1.5,,,,,,,,,,
springsfire,springs3,23,live,pije,28,7.4,2.3,,IN,2,1.5,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,21,0.23,1,,,,,,
springsfire,springs3,24,live,pije,30.6,9.2,3,,IN,3,,,,,,,,,,,
springsfire,springs3,25,live,pije,54.5,18.1,5.1,,CO,4,,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,10,0.26,4,,,,,,
springsfire,springs3,26,live,pije,27.2,7.3,2.2,,IN,3,,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,39,0.22,4,,,,,,
springsfire,springs3,27,live,pije,39.5,12.4,4,,CO,3,4,,,,,,,,,,
springsfire,springs3,,stump,pije,,,,,,,,,10,0.25,4,,,,,,
springsfire,springs4,28,live,pije,41,11.4,3,,CO,1.5,0.5,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs4,29,live,pije,39.4,12.4,3,,CO,2,,,,,,,,,,,
springsfire,springs4,,stump,pije,,,,,,,,,34,0.32,2,,,,,,remains of a burnt stump
springsfire,springs4,30,live,pije,41.5,11.8,3,,CO,2,,,,,,,,,,,
springsfire,springs4,,stump,pije,,,,,,,,,38,0.6,2,,,,,,remains of a burnt stump
springsfire,springs4,,stump,pije,,,,,,,,,20,0.23,4,,,,,,
springsfire,springs4,,stump,pije,,,,,,,,,97,0.44,3,,,,,,
springsfire,springs5,31,live,pije,65.3,18.6,5.1,,CO,2.5,,,,,,,,,,,hadnt started collecting ladder fuels or live score yet
springsfire,springs5,,stump,pije,,,,,,,,,19.5,0.27,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,56,0.49,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,38,0.65,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,9,0.24,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,11,0.31,2,,,,,,
springsfire,springs5,32,live,pije,64.3,18,5.4,,CO,5,,,,,,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,19,0.4,1,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,16,0.41,1,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,11,0.31,1,,,,,,
springsfire,springs5,33,live,pije,45.9,11.9,4,,,2.5,1.05,,,,,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,11,0.28,4,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,10,0.24,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,12,0.29,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,15,0.3,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,14,0.3,3,,,,,,
springsfire,springs5,34,live,pije,68.6,22.2,5.2,,DO,3,4.5,,,,,,,,,,
springsfire,springs5,35,live,pije,50.3,17.3,5.5,,CO,4,2,,,,,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,30,0.46,2,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,12,0.2,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,14,0.17,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,12,0.25,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,10,0.26,3,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,22,0.2,5,,,,,,
springsfire,springs5,,stump,pije,,,,,,,,,10,0.27,4,,,,,,
springsfire,springs6,36,live,pico,13.3,8,2,,IN,0.85,,,,,,,,,,,
springsfire,springs6,37,live,pico,39,10.9,2.3,,IN,2.7,,,,,,,,,,,
springsfire,springs6,38,live,pico,7.8,4,0.5,0.01,IN,1,,,,,,,,,,,
springsfire,springs6,39,live,pico,12.1,6,2,,IN,0.6,,,,,,,,,,,
springsfire,springs6,40,live,pico,10,6,1,,IN,0.9,,,,,,,,,,,
springsfire,springs6,41,live,pico,14.6,7,2,,IN,0.9,,,,,,,,,,,
springsfire,springs6,42,live,pico,7.8,4,1.9,0.75,IN,0.9,,,,,,,,,,,
springsfire,springs6,43,live,pico,17.4,9,2.1,0.5,IN,1,,,,,,,,,,,
springsfire,springs6,44,live,pico,14.3,8,2.1,0.5,IN,1.2,,,,,,,,,,,
springsfire,springs6,45,live,pico,10.9,5,2,,OV,0.5,,,,,,,,,,,
springsfire,springs6,46,live,pico,17.8,7.5,2,,IN,1.5,,,,,,,,,,,
springsfire,springs6,47,live,pico,31.6,8,2.5,1-Jan,IN,,,,,,,,,,,,
springsfire,springs6,48,live,pico,7.7,4,1.8,0.25,IN,0.5,,,,,,,,,,,
springsfire,springs6,49,live,pico,15.7,8,2.1,,IN,1,,,,,,,,,,,
springsfire,springs6,50,live,pico,9.1,7,4,,IN,0.5,,,,,,,,,,,
springsfire,springs6,51,live,pico,9.3,5.2,2,,IN,0.5,,,,,,,,,,,
springsfire,springs6,52,live,pico,8,6,2,,IN,0.5,,,,,,,,,,,
springsfire,springs6,53,live,pico,9.2,8,7,1,IN,0.5,,,,,,,,,,,
springsfire,springs6,54,live,pico,68.9,12,3,0.01,DO,7,,,,,,,,,,,
springsfire,springs6,55,dead,pico,16.1,5.9,,0.4,,,,,,,1,,,,,,
springsfire,springs6,56,live,pico,19.6,9.9,1.5,,IN,1,,,,,,,,,,,
springsfire,springs6,57,live,pico,17.1,10.9,5.6,1.5,CO,1,,,,,,,,,,,
springsfire,springs6,58,live,pico,19.3,10.3,3.7,1.5,IN,1.25,,,,,,,,,,,
springsfire,springs6,59,live,pico,15.5,7.7,2.2,0.7,IN,1,,,,,,,,,,,
springsfire,springs6,60,live,pico,36,9.8,2,0.3,CO,4,,,,,,,,,,,
springsfire,springs6,61,live,pico,12.9,6,1,,IN,0.75,,,,,,,,,,,
springsfire,springs6,62,live,pico,36.5,13.5,1,,CO,2,,,,,,,,,,,
springsfire,springs6,63,live,pico,49.4,14.8,1.5,0.2,CO,3,,,,,,,,,,,
springsfire,springs6,64,live,pico,20.3,10.5,3.9,1.2,IN,1.25,,,,,,,,,,,
springsfire,springs7,65,live,pico,33.3,16,2,x,CO,2.5,0.1,1,,,,,,,,,
springsfire,springs7,66,live,pico,14.3,9,1.1,x,OV,1.5,0.1,1,,,,,,,,,
springsfire,springs7,67,live,pico,23.8,8.4,2,0.3,IN,2,0.3,1,,,,,,,,,
springsfire,springs7,68,live,pico,13.9,5,1.8,0.2,OV,1,0.1,1,,,,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,99.7,0.29,3,,,,,,
springsfire,springs7,69,live,pico,15.8,6,1.1,x,IN,1.75,0.05,1,,,,,,,,,
springsfire,springs7,70,live,pico,14.9,11,3,x,OV,0.5,0.5,1,,,,,,,,,
springsfire,springs7,71,live,pico,16.6,12,3,x,OV,0.5,0.5,1,,,,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,23.6,0.72,2,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,61,0.28,2,,,,,,
springsfire,springs7,72,live,pico,52.3,17,9,x,CO,5,0.5,1,,,,,,6,2,,
springsfire,springs7,,stump,pico,,,,,,,,,51,0.3,2,,,,,,
springsfire,springs7,73,live,pico,31,14,5,2,IN,4,none,3,,,,,,6,3,,
springsfire,springs7,74,live,pico,52.3,17,3,x,CO,5,0.3,1,,,,,,,,,
springsfire,springs7,75,live,pico,44.3,17.1,3,x,CO,4,0.2,1,,,,,,,,,
springsfire,springs7,76,live,pico,15.8,9.6,1,x,OV,1,0.2,2,,,,,,,,,
springsfire,springs7,,dead,pico,12,9.4,,x,,,,,,,3,,,,,,
springsfire,springs7,77,live,pico,18.8,11,3,x,OV,2,0.3,3,,,,,,,,,
springsfire,springs7,78,live,pico,48.5,21,7,x,CO,4,1,2,,,,,,,,,
springsfire,springs7,79,live,pico,50.6,25,8,2.5,CO,3,0.6,1,,,,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,23,0.75,1,,,,,,
springsfire,springs7,80,live,pico,72.4,22,3,x,CO,6,0.2,1,,,,,,,,,
springsfire,springs7,81,live,pico,45.4,19,3,x,CO,2.5,0.2,1,,,,,,,,,
springsfire,springs8,82,live,pico,59.6,16,3.5,,CO,5,,,2,,,,,,,,
springsfire,springs8,83,live,pije,47.9,8.5,4,,OP,4,,,2,,,,,,,,
springsfire,springs8,84,live,pije,8.2,4.2,2,,OP,1,,,1,,,,,,,,
springsfire,springs8,85,live,pico,28.7,12,3,5.8,IN,2,,,1,,,,,,,,
springsfire,springs8,86,live,pico,48.1,20,5.5,,CO,5,,,1,,,,,,,,
springsfire,springs8,87,live,pico,56.8,15,6,5.8,CO,5,,,1,,,,,,,,
springsfire,springs8,88,live,pico,12.8,8,2,,IN,1.5,,,1,,,,,,,,
springsfire,springs8,89,live,pije,11.6,4,2.1,,OP,1.5,,,1,,,,,,,,
springsfire,springs8,90,live,pije,57.7,16,6,8,CO,3,,,2,,,,,,,,
springsfire,springs8,91,live,pije,47.4,13,4,,CO,2.5,,,2,,,,,,,,
springsfire,springs8,92,live,pico,29.2,13,2,,IN,2,,,1,,,,,,,,
springsfire,springs8,93,live,pico,11.8,5,1,,OP,1.5,,,1,,,,,,,,
springsfire,springs8,94,live,pije,46.1,16,6,,CO,3.5,,,1,,,,,,,,
springsfire,springs8,95,live,pije,13.7,4.2,1,,IN,1.5,,,1,,,,,,,,
springsfire,springs8,96,live,pije,23,9,2.2,,IN,2,,,2,,,,,,,,
springsfire,springs8,97,live,pije,22.5,9,4,,IN,1.75,,,1,,,,,,,,
springsfire,springs8,98,live,pije,9.9,4.5,1.5,,OP,1.5,,,1,,,,,,,,
springsfire,springs10,113,live,pico,55.9,18.9,1.5,0.5,CO,6,,1,,,,,,,,,
springsfire,springs10,114,live,pije,16.1,6.2,2,0.5,OV,1.5,,1,,,,,,,,,
springsfire,springs10,115,live,pico,44.5,13,2.4,0.5,CO,5.5,,1,,,,,,,,,
springsfire,springs10,116,live,pico,8.1,5.2,1,0.25,OV,1,,1,,,,,,,,,
springsfire,springs10,117,live,pije,33.7,16,3,2,IN,2,,1,,,,,,,,,
springsfire,springs10,118,live,pico,75.3,22.8,3,0.5,CO,4,,1,,,,,,,,,
springsfire,springs10,119,live,pico,21.4,9.1,1.9,0.5,IN,2.5,,1,,,,,,,,,
springsfire,springs10,120,live,pico,13.8,7,2.9,0,IN,1,,2,,,,,,,,,
springsfire,springs10,121,live,pico,65.4,19.4,5,1,CO,3,,2,,,,,,,,,
springsfire,springs10,122,live,pico,40.7,13,3,1.8,IN,3,,2,,,,,,,,,
springsfire,springs10,123,live,pico,47.3,17.8,3,2,CO,2.5,,1,,,,,,,,,
springsfire,springs10,124,live,pico,40.5,17.4,2.6,0,CO,3,,2,,,,,,,,,
springsfire,springs10,125,live,pico,18.9,8,2.5,1,OV,2,,1,,,,,,,,,
springsfire,springs11,,stump,pije,,,,,,,,,11,0.3,4,,,,,,
springsfire,springs11,126,live,pije,34,11.9,3.5,1.8,CO,3,2,2,,,,,,,,,
springsfire,springs11,127,live,pije,35.1,13.8,4.6,2,CO,3.5,4,2,,,,,,,,,
springsfire,springs11,128,live,pije,27.9,8.9,4.6,2.5,IN,2,4,2,,,,,,,,,
springsfire,springs11,,stump,pije,,,,,,,,,16,0.12,3,,,,,,
springsfire,springs11,,stump,pije,,,,,,,,,14,0.15,3,,,,,,
springsfire,springs11,,stump,pije,,,,,,,,,35,0.17,3,,,,,,
springsfire,springs11,,stump,pije,,,,,,,,,8,0.08,4,,,,,,
springsfire,springs11,129,live,pije,54.7,17.9,9.1,3.6,IN,7,4,2,,,,,,,,,
springsfire,springs11,,stump,pije,,,,,,,,,8,0.17,3,,,,,,
springsfire,springs11,130,live,pije,94,24.5,10.5,4.5,CO,8,5,2,,,,,,,,,
springsfire,springs12,,stump,pije,,,,,,,,,32,0.36,1,,,,,,
springsfire,springs12,131,live,pije,32.9,13.7,7,3.5,IN,1,3.5,2,,,,,,,,,
springsfire,springs12,132,live,pije,66.6,21.8,9.4,4,CO,4,3,2,,,,,,,,,
springsfire,springs12,,stump,pije,,,,,,,,,60,0.2,5,,,,,,
springsfire,springs12,133,live,pije,40.5,16.3,7.1,5,IN,2,4,2,,,,,,,,,
springsfire,springs12,134,live,pije,32.5,11,5.5,3,IN,2,3.5,2,,,,,,,,,
springsfire,springs12,135,live,pije,53.5,15,6.8,3,DO,3,6,2,,,,,,,,,
springsfire,springs12,136,live,pije,47.3,13.3,5.5,2.5,CO,4,3,2,,,,,,,,,
springsfire,springs12,137,live,pije,35.3,13.3,5.9,2.5,CO,3,3,2,,,,,,,,,
springsfire,springs12,138,live,pije,37.5,14.1,5.7,2.5,CO,2.5,3,2,,,,,,,,,
springsfire,springs12,,stump,pije,,,,,,,,,17,0.23,2,,,,,,
springsfire,springs12,,stump,pije,,,,,,,,,98,0.47,2,,,,,,
springsfire,springs12,139,live,pije,30.7,,,,,1,,2,,,,,,,,,
springsfire,springs12,,stump,pije,,,,,,,,,20,0.15,5,,,,,,
springsfire,springs13,,stump,pije,,,,,,,,,11,0.2,3,,,,,,
springsfire,springs13,140,live,pije,38.4,10,1,0.75,CO,1.25,0.5,1,,,,,,,,,
springsfire,springs13,,stump,pije,,,,,,,,,115,0.64,4,,,,,,
springsfire,springs13,141,live,pije,40.9,11.9,4,2,CO,1,4,2,,,,,,,,,
springsfire,springs13,142,live,pije,9.6,3.5,0.3,0.2,IN,0.6,0,1,,,,,,,,,
springsfire,springs13,143,live,pije,15,4.25,0.4,0.3,IN,0.75,0,2,,,,,,,,,
springsfire,springs13,144,live,pije,40.7,12,3.25,1.5,CO,2.25,0,1,,,,,,,,,
springsfire,springs14,145,live,pije,31.5,15.2,9,5,CO,2,4,1,,,,,,,,,
springsfire,springs14,146,live,pije,33.1,12.7,8,2,CO,2,4,2,,,,,,,,,
springsfire,springs14,147,live,pije,32.9,15.2,9,4,IN,2,4,2,,,,,,,,,
springsfire,springs14,,stump,pije,,,,,,,,,27,0.28,3,,,,,,
springsfire,springs14,148,live,pije,40.8,13,5.5,3,IN,3.5,4,2,,,,,,,,,
springsfire,springs14,,stump,pije,,,,,,,,,38,0.23,2,,,,,,
springsfire,springs14,,stump,pije,,,,,,,,,24,0.27,3,,,,,,
springsfire,springs14,149,live,pije,69.4,14,7.5,5,IN,6,4.5,1,,,,,,,,,
springsfire,springs14,150,live,pije,23.6,5,3,1,IN,2,2.5,2,,,,,,,,,
springsfire,springs14,151,live,pije,34.8,12,6,4,IN,3,4.5,2,,,,,,,,,
springsfire,springs14,152,live,pije,51.9,16,8,4.5,IN,3.5,5,2,,,,,,,,,
springsfire,springs14,153,live,pije,30.7,15,7,3,IN,2.5,4.5,2,,,,,,,,,
springsfire,springs14,,stump,pije,,,,,,,,,16,0.24,3,,,,,,
springsfire,springs14,154,live,pije,30.3,13,11,6,IN,1.75,4,3,,,,,,,,,
springsfire,springs15,155,live,pije,56.1,16.2,6.4,3,CO,3.5,4,2,,,,,,,,,
springsfire,springs15,156,live,pije,57.6,18,7,3.5,CO,4,3,2,,,,,,,,,
springsfire,springs15,157,live,pije,45.3,13,1.7,0.2,IN,6,0,1,,,,,,,,,
springsfire,springs15,158,live,pije,29.6,12,1.5,0,IN,2.5,0.2,1,,,,,,,,,
springsfire,springs15,159,live,pije,21.3,7.1,2.9,0.7,IN,2,0.5,1,,,,,,,,,
springsfire,springs15,160,live,pije,10.8,4.5,0.5,0,IN,1,0,1,,,,,,,,,
springsfire,springs15,,stump,pije,,,,,,,,,16.5,0.06,5,,,,,,
springsfire,springs15,161,live,pije,33.5,14.3,5,1,CO,1,2.5,3,,,,,,,,,
springsfire,springs16,162,live,pije,53.1,13.4,6.5,2,IN,7,2.5,2,,,,,,,,,
springsfire,springs16,163,live,pije,73.3,18.5,7.5,2.25,CO,7,4,1,,,,,,,,,
springsfire,springs16,164,live,pije,0.5,14,6,4,IN,6,0,1,,,,,,,,,
springsfire,springs16,165,live,pije,35.3,9,4,1.5,IN,2,0.2,1,,,,,,,,,
springsfire,springs16,166,live,pije,64.6,19,6,3,CO,8,6,1,,,,,,,,,
springsfire,springs17,167,live,pije,54.1,15,3.5,2,CO,2,4.5,2,,,,,,,,,
springsfire,springs17,168,live,pije,57.5,14,4,3,CO,3,3.5,2,,,,,,,,,
springsfire,springs17,,stump,pije,,,,,,,,,8,0.37,4,,,,,,
springsfire,springs17,,stump,pije,,,,,,,,,17,0.2,3,,,,,,
springsfire,springs17,,stump,pije,,,,,,,,,18,0.21,3,,,,,,
springsfire,springs17,169,live,pije,52.1,15,4,1.75,Co,4,2.5,1,,,,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,110,0.45,4,,,,,,
springsfire,springs18,170,live,pije,38.2,13.6,5,2,CO,3.5,,1,,,,,,,,,
springsfire,springs18,171,live,pije,41.6,14.5,4.5,2.5,CO,3.5,,1,,,,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,31,0.22,3,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,67,0.37,4,,,,,,
springsfire,springs18,172,live,pije,44.8,14.5,4,2,CO,4,,1,,,,,,,,,
springsfire,springs18,173,live,pije,50,14.4,5.5,2.5,CO,4,,1,,,,,,,,,
springsfire,springs18,174,live,pije,49,15,4,2,CO,3.5,,1,,,,,,,,,
springsfire,springs18,175,live,pije,48,15.5,5,2,CO,3.5,,1,,,,,,,,,
springsfire,springs18,176,live,pije,45.7,13.4,5.2,2,CO,2,,1,,,,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,22,0.13,5,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,13,0.15,5,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,20,0.17,5,,,,,,
springsfire,springs18,177,live,pije,28.7,6.7,2.5,2,IN,2,,1,,,,,,,,,
springsfire,springs18,178,live,pije,38.4,12.5,4,1.8,CO,3.5,,1,,,,,,,,,
springsfire,springs18,,stump,pije,,,,,,,,,16,0.15,5,,,,,,
springsfire,springs19,179,live,pije,39.5,13,3,2,CO,3,0,1,,,,,,,,,TAGS 185 AND 186 WERE LOST
springsfire,springs19,180,live,pije,42.1,13,3,1.9,CO,6,0.5,1,,,,2.5,tr,,,,
springsfire,springs19,181,live,pije,57.9,15,4,1,CO,5,0.2,1,,,,,,,,,
springsfire,springs19,182,live,pije,44.5,14,4,1.5,CO,3,0.1,1,,,,,,,,,
springsfire,springs19,,stump,pije,,,,,,,,,38,0.29,2,,,,,,
springsfire,springs19,183,live,pije,41.5,16,4,2,CO,2.5,1.9,1,,,,,,,,,
springsfire,springs19,184,live,pije,39.9,15,4,1,CO,4,0.4,1,,,,,,,,,
springsfire,springs19,,stump,pije,,,,,,,,,39,0.23,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,9,0.09,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,17,0.16,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,8,0.18,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,41.5,0.1,1,,,,,,
springsfire,springs20,187,live,pije,11.2,4.2,2,0.8,IN,1.25,0.8,1,,,,,,,,,
springsfire,springs20,,live,pije,36.4,14.1,5.1,4,CO,3,,1,,,,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,45,0.35,3,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,18,0.25,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,23,0.21,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,34,0.15,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,13,0.18,3,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,18,0.15,3,,,,,,
springsfire,springs20,189,live,pije,47,16.5,5,,,,,,,,,,,,,,
springsfire,springs20,,stump,pije,,,,3.5,,,3.5,1,38.5,0.3,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,14,0.17,2,,,,,,
springsfire,springs20,190,live,pije,34.95,10,4,1.2,IN,3.5,3,,,,,,,,,,
springsfire,springs20,191,live,pije,45.6,13,5,2.5,CO,4,,,,,,,,,,,
