site,plotid,tag,status,species,dbh,ht,ht2crown,ht2deadcr,crownclass,crownwidth,bolechar,health,stumpdbh,stumpht,decay,scorch_ht,scorch,torch_ht,torch,resprout,notes
springsfire,springs20,,stump,pije,,,,,,,,,23,0.25,1,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,17.5,0.15,1,,,,,,
springsfire,springs20,192,live,pije,38.7,12,3.5,3.5,IN,4.5,1.5,,,,,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,10,0.14,2,,,,,,
springsfire,springs20,,stump,pije,,,,,,,,,24,0.23,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,9,0.13,1,,,,,,
springsfire,springs21,193,live,pije,28.5,10.7,2.5,1.6,IN,3,0.2,1,,,,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,100,0.39,2,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,22,0.21,4,,,,,,
springsfire,springs21,194,live,pije,51.4,14.9,3.7,1,CO,4,1,1,,,,,,,,,
springsfire,springs21,195,live,pije,45,16.7,4.5,2,CO,4.5,0.5,1,,,,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,42,0.6,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,40,0.24,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,12,0.14,5,,,,,,
springsfire,springs21,196,live,pije,42.6,13,4,1.7,CO,4,0,1,,,,,,,,,char on top stem
springsfire,springs21,,stump,pije,,,,,,,,,28,0.22,3,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,29,0.23,4,,,,,,
springsfire,springs21,197,live,pije,41.8,15.2,4.9,2,CO,3.5,0,1,,,,,,,,,
springsfire,springs21,198,live,pije,35.3,12,3,1,CO,4,0,1,,,,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,17,0.19,2,,,,,,
springsfire,springs21,,stump,pije,,,,,,,,,34,0.23,2,,,,,,stump
springsfire,springs21,,dead,pije,,,,,,,,,10,11.11,3,,,,,,stump
springsfire,springs21,199,live,pije,42,14.8,4,1.5,CO,2,0,1,,,,,,,,,
springsfire,springs21,200,live,pije,29.5,11,4,1.2,CO,5,3,1,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,18,0.2,2,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,8,0.9,5,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,10,0.11,3,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,10,0.15,3,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,47,0.26,2,,,,,,
springsfire,springs22,201,live,pije,47.5,17,9,3,CO,4,2.5,2,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,42,0.19,2,,,,,,
springsfire,springs22,202,live,pije,53.5,17.4,6,3.5,CO,4,0.5,1,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,23,0.15,1,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,16,0.18,4,,,,,,
springsfire,springs22,203,live,pije,40.7,16.4,4.5,2,IN,3.5,0.3,1,,,,,,,,,
springsfire,springs22,204,live,pije,47.6,17.5,7,3,CO,3.5,1,1,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,31,0.19,2,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,14,0.1,4,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,9,0.09,4,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,26,0.16,3,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,25,0.39,3,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,15,0.17,2,,,,,,
springsfire,springs22,205,live,pije,46.1,15.7,3.7,2.3,CO,3.5,2.5,2,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,11,0.18,1,,,,,,
springsfire,springs22,206,live,pije,35.2,10.5,3,0.5,IN,3,1.5,1,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,15,0.15,3,,,,,,
springsfire,springs22,207,live,pije,52.2,17,5,2,CO,2.2,1.5,1,,,,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,11,0.13,2,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,15,0.2,3,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,8.5,0.14,2,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,25,0.24,2,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,8,0.18,2,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,9,0.17,3,,,,,,
springsfire,springs22,,stump,pije,,,,,,,,,18,0.15,2,,,,,,
springsfire,springs23,208,live,pije,24.5,7,2,0.5,IN,,1.25,1,,,,,,,,,
springsfire,springs23,209,live,pije,41.6,10,3,2,CO,,2.5,1,,,,,,,,,red needles at top
springsfire,springs23,210,live,pije,56.5,15,5,3,CO,4,0.75,1,,,,,,,,,
springsfire,springs23,,stump,pije,,,,,,,,,47,0.26,2,,,,,,
springsfire,springs23,211,live,pije,52.9,13,5,2.5,CO,4,3,1,,,,,,,,,
springsfire,springs23,,stump,pije,,,,,,,,,51,0.25,1,,,,,,
springsfire,springs23,,stump,pije,,,,,,,,,21,0.2,1,,,,,,
springsfire,springs23,212,live,pije,38.9,12,4,2,CO,4.7,3,1,,,,,,,,,
springsfire,springs23,,stump,pije,,,,,,,,,43,0.24,2,,,,,,
springsfire,springs23,213,stump,pije,45.85,16,5,4,CO,5,4.5,1,,,,,,,,,
springsfire,springs23,,stump,pije,,,,,,,,,38,0.21,2,,,,,,
springsfire,springs24,,stump,pije,,,,,,,,,50,0.04,4,,,,,,
springsfire,springs24,214,live,pije,58.5,29.5,5,,DO,2,0.9,1,,,,,,,,,
springsfire,springs24,,stump,pije,,,,,,,,,45,0.5,2,,,,,,
springsfire,springs24,215,live,pije,48.3,19.3,6,,CO,2,0.3,2,,,,,,,,,
springsfire,springs24,,stump,pije,,,,,,,,,14,0.17,3,,,,,,
springsfire,springs24,216,live,pije,23.9,6.7,2,,IN,4,0.8,1,,,,,,,,,
springsfire,springs24,,stump,pije,,,,,,,,,46,0.35,3,,,,,,
springsfire,springs24,217,live,pije,43.5,14.9,3.6,2,CO,3.5,0.2,1,,,,,,,,,
springsfire,springs24,218,live,pije,39.1,11.2,2.7,1,CO,3,1.5,1,,,,,,,,,
springsfire,springs24,,stump,pije,,,,,,,,,17,0.15,5,,,,,,
springsfire,springs24,219,live,pije,50.8,15.9,4,2,CO,4,1,1,,,,,,,,,
springsfire,springs25,220,live,pije,32.6,9.8,3,1.5,,3.5,1.75,1,,,,,,,,,
springsfire,springs25,221,live,pije,48.2,14,3,2,CO,4,between crown height and 4 meters,1,,,,,,,,,
springsfire,springs25,222,live,pije,37.5,10.9,3,1,CO,3.5,0.2,1,,,,,,,,,
springsfire,springs25,,stump,pije,,,,,,,,,26.5,1.1,4,,,,,,
springsfire,springs25,,stump,pije,,,,,,,,,93,0.51,3,,,,,,
springsfire,springs26,223,live,pico,14,9.3,5.3,1.25,IN,1.5,,1,,,,,,,,,
springsfire,springs26,224,live,pico,14.7,7.8,2.5,0.3,OV,2.5,,1,,,,,,,,,
springsfire,springs26,225,live,pico,8.8,5,1.7,0.4,OV,1,,1,,,,,,,,,
springsfire,springs26,226,live,pico,27.85,14,3.7,2,IN,3.5,,1,,,,,,,,,
springsfire,springs26,227,live,pico,23.4,10.5,3.5,0.9,IN,3.5,,1,,,,,,,,,
springsfire,springs26,228,live,pije,61.2,17.5,8,3.3,CO,6,0.3,1,,,,,,,,,
springsfire,springs26,229,live,pije,17.75,10,4,2.5,OV,2.5,,1,,,,,,,,,
springsfire,springs26,230,live,pico,13.3,8,2.5,0.6,OV,1,,1,,,,,,,,,
springsfire,springs26,231,live,pije,28.3,15,6,5,CO,1.25,,1,,,,,,,,,
springsfire,springs26,232,live,pije,40.5,14.7,5.8,2,CO,4,1.5,1,,,,,,,,,
springsfire,springs26,233,live,pije,8.2,4,1.8,0.3,OV,1,,1,,,,,,,,,
springsfire,springs26,234,live,pije,9.1,4,2,0.5,OV,0.5,,1,,,,,,,,,
springsfire,springs26,235,live,pico,39.3,13.5,3,0.8,CO,7,,1,,,,,,,,,
springsfire,springs26,236,live,pico,25.9,8,3.3,0.1,IN,6,,1,,,,,,,,,
springsfire,springs26,237,live,pije,11.85,4.2,2.1,1.4,OV,1,,1,,,,,,,,,
springsfire,springs26,238,live,pije,8.9,3.5,2,1,OV,1.2,,1,,,,,,,,,
springsfire,springs26,239,live,pije,10,4,2.1,2,OV,1.5,,1,,,,,,,,,
springsfire,springs26,240,live,pije,8.1,3.8,2.2,0.5,OV,1,,1,,,,,,,,,
springsfire,springs26,241,live,pije,60.5,18.2,8.2,4,CO,3,2,1,,,,,,,,,
springsfire,springs26,242,live,pico,25.5,15.5,6.9,0.4,OV,5.5,,1,,,,,,,,,
springsfire,springs26,243,live,pico,29.3,11,5,1,IN,2,0.9,1,,,,,,,,,
springsfire,springs26,244,live,pije,9.2,4.2,2,0.5,OV,1,0.4,1,,,,,,,,,
springsfire,springs26,245,live,pije,10.3,4.3,1.4,0.2,OV,1.5,,1,,,,,,,,,
springsfire,springs26,246,live,pije,20.1,8,3.7,1.8,OV,1.5,1.1,1,,,,,,,,,
springsfire,springs26,247,live,pije,20.55,9.7,3.5,1.9,OV,2.5,,1,,,,,,,,,
springsfire,springs26,248,live,pije,15.5,8,3,1.7,IN,1.5,1,1,,,,,,,,,
springsfire,springs26,249,live,pije,46.2,17,6,2.7,CO,6,0.5,1,,,,,,,,,
springsfire,springs26,,dead,pico,84.1,21,,2,,,0.4,,,,2,,,,,,
springsfire,springs26,250,live,pico,21.7,12,6,0.5,IN,2,,1,,,,,,,,,
springsfire,springs26,,dead,pico,15.3,8,,1,,,,,,,1,,,,,,
springsfire,springs26,251,live,pico,39.2,21.5,9,2,CO,8,,2,,,,,,,,,
springsfire,springs26,252,live,pico,16.6,10,5,1.5,OV,1,,1,,,,,,,,,
springsfire,springs26,253,live,,7.8,6,4,0.6,OV,0.6,,1,,,,,,,,,
springsfire,springs27,254,live,pije,49.7,15.3,6,2.2,CO,4,2,1,,,,,,,,,
springsfire,springs27,255,live,pije,30.2,10.4,3.5,1.9,OV,1.5,0.3,2,,,,,,,,,
springsfire,springs27,,stump,pije,,,,,,,,,13.6,0.47,3,,,,,,
springsfire,springs27,256,live,pije,19.4,8.6,3.5,1.4,OV,1,,2,,,,,,,,,
springsfire,springs27,,dead,pico,31,11.5,,0.5,,,,,,,1,,,,,,
springsfire,springs27,,dead,pico,16.9,10,,0.05,,,,,,,1,,,,,,
springsfire,springs27,257,live,pico,46.5,16,4,1.6,CO,5.5,,1,,,,,,,,,
springsfire,springs27,258,live,pije,10.1,4.5,1.6,0.6,OV,1.5,TR,1,,,,,,,,,
springsfire,springs27,259,live,pije,34.8,15.3,5,0.9,CO,2.5,0.4,1,,,,,,,,,
springsfire,springs27,260,live,pije,40.2,15.1,5.5,2.5,CO,2.75,1.5,1,,,,,,,,,
springsfire,springs27,,dead,pije,10,5,,0.8,,,,,,,1,,,,,,
springsfire,springs27,261,live,pije,23.5,11.2,4,0.7,IN,1.5,1.2,,,,,,,,,,
springsfire,springs27,262,live,pico,35.1,14,3,0.5,CO,3,0.1,1,,,,,,,,,
springsfire,springs27,263,live,pije,16.9,6,2.4,0.25,IN,1.5,0.4,1,,,,,,,,,
springsfire,springs27,264,live,pije,23.4,9,1.5,1.4,IN,1.5,0.2,1,,,,,,,,,
springsfire,springs27,265,live,pije,9.2,5,3,0.8,OV,0.75,0.3,2,,,,,,,,,
springsfire,springs27,266,live,pije,11.6,6,3,1.2,OV,1,0.3,1,,,,,,,,,
springsfire,springs27,267,live,pije,15.5,6.2,3,0.8,IN,1.25,0.4,1,,,,,,,,,
springsfire,springs27,268,live,pico,37.3,12,2,0.5,CO,5,,1,,,,,,,,,
springsfire,springs27,269,live,pije,35.1,12,6,1.2,CO,4,,1,,,,,,,,,
springsfire,springs28,270,live,pije,19.8,8,2,0.2,IN,2,,1,,,,,,,,,
springsfire,springs28,271,live,pije,58.8,19.5,9,4,DO,4.5,,1,,,,,,,,,
springsfire,springs28,272,live,pije,12.9,6,2.6,2,OV,1,,1,,,,,,,,,
springsfire,springs28,273,live,pije,12.2,6,2.7,2.5,OV,2,,1,,,,,,,,,
springsfire,springs28,274,live,pije,61.8,10.8,4,1,IN,7,,2,,,,,,,,,
springsfire,springs28,276,live,pije,37.2,15,4.5,1.6,CO,3.5,1.6,1,,,,,,,,,lost tag 275
springsfire,springs28,277,live,pije,38.9,13.5,4.5,2,CO,3,1.4,1,,,,,,,,,
springsfire,springs28,278,live,pije,21.6,10,3,1.4,IN,2,0.4,1,,,,,,,,,
springsfire,springs28,279,live,pije,28.8,8.1,3.7,1.5,IN,2.5,0.3,2,,,,,,,,,
springsfire,springs28,280,live,pije,10.1,4.25,2,1.1,OV,1,0.1,1,,,,,,,,,
springsfire,springs28,281,live,pije,9.9,5.2,2,1,OV,1,,1,,,,,,,,,
springsfire,springs28,282,live,pije,46,16.4,5,1.8,CO,4,2.2,1,,,,,,,,,
springsfire,springs28,283,live,pije,14,5,2.2,1.1,OV,1,0.4,2,,,,,,,,,
springsfire,springs28,284,live,pije,12,5.7,2.5,1.2,IN,1,,1,,,,,,,,,
springsfire,springs28,285,live,pije,15.7,5.3,2.1,0.5,OV,1.5,,1,,,,,,,,,
springsfire,springs28,286,live,pije,20.4,5.7,2.5,0.7,OV,2,,1,,,,,,,,,
springsfire,springs28,287,live,pije,15.2,5.7,3.5,1,IN,1.5,,1,,,,,,,,,
springsfire,springs28,288,live,pije,11.1,5.5,3.5,1.1,OV,1,,1,,,,,,,,,
springsfire,springs28,289,live,pije,18,7,3.7,0.8,IN,2,,1,,,,,,,,,
springsfire,springs28,290,live,pije,9.9,3.5,1.9,1,OV,1,,2,,,,,,,,,
springsfire,springs28,291,live,pije,29.1,10.4,4.2,1.6,CO,2.5,0.1,1,,,,,,,,,
springsfire,springs28,292,live,pije,7.9,4,1.5,1,OV,1,,1,,,,,,,,,
springsfire,springs28,293,live,pije,18,5.5,2.2,0.7,IN,2,,2,,,,,,,,,
springsfire,springs28,294,live,pije,34.1,11.8,5,1.8,CO,3,,1,,,,,,,,,
springsfire,springs28,295,live,pije,34.7,12,5,1.6,CO,2,,1,,,,,,,,,
springsfire,springs28,296,live,pije,28.5,10,5,1.7,CO,3,,1,,,,,,,,,
springsfire,springs28,297,live,pije,15.8,5.5,2.25,1,OV,5,,1,,,,,,,,,
springsfire,springs28,298,live,pije,37,12.5,5,2,CO,3,,1,,,,,,,,,
springsfire,springs29,299,live,pije,41.6,15,6,1,CO,3.25,4,1,,,,,,,,,
springsfire,springs29,300,live,pije,31.6,12,5,1.1,IN,2.5,1.2,1,,,,,,,,,
springsfire,springs29,301,live,pije,45.5,16,4.3,1.4,CO,5,,1,,,,,,,,,
springsfire,springs29,302,live,pije,38.2,13.2,6,1.2,IN,4,,1,,,,,,,,,
springsfire,springs29,303,live,pije,52.8,18,8,2,CO,4,8,1,,,,,,,,,
springsfire,springs30,304,live,pije,11.7,5.1,1.9,0.1,OV,1.5,,2,,,,,,,,,
springsfire,springs30,305,live,pije,30.3,11.8,3,0.5,IN,2.5,,1,,,,,,,,,
springsfire,springs30,306,live,pije,18.8,7.9,2,0.75,IN,2,,2,,,,,,,,,
springsfire,springs30,307,live,pije,19,5.6,2.6,0.4,OV,2.5,0.5,1,,,,,,,,,
springsfire,springs30,308,live,pije,20.8,9.7,2.8,0.4,IN,2,0.5,1,,,,,,,,,
springsfire,springs30,309,live,pije,22.4,7.7,2,0.5,OV,3,,1,,,,,,,,,
springsfire,springs30,310,live,pije,10.5,4.5,2,0.5,OV,1.5,,2,,,,,,,,,
springsfire,springs30,311,live,pije,101,20,7,4,CO,11,,1,,,,,,,,,
springsfire,springs30,312,live,pije,22.2,8,2.5,0.5,IN,2.5,,2,,,,,,,,,
springsfire,springs30,313,live,pije,11.6,4.25,1.4,0.2,OV,1.5,,1,,,,,,,,,
springsfire,springs30,314,live,pije,11.9,4.35,1.5,0.2,OV,1.75,,1,,,,,,,,,
springsfire,springs30,315,live,pije,15.7,7.4,2,1.25,IN,2,,1,,,,,,,,,
springsfire,springs30,316,live,pije,10.6,5,2,1,OV,2,,1,,,,,,,,,
springsfire,springs30,330,live,pije,8,3.75,2,0.9,OV,1.5,,1,,,,,,,,,*we missed this tree at first
springsfire,springs30,317,live,pije,15.7,6.5,2.5,0.6,IN,2,,1,,,,,,,,,
springsfire,springs30,318,live,pije,7.8,3.9,1.2,0.01,OV,1.5,,1,,,,,,,,,
springsfire,springs30,319,live,pije,12.7,4.7,1.8,0.4,OV,1.75,,1,,,,,,,,,
springsfire,springs30,320,live,pije,27.9,3.5,1.8,0.4,OV,3,,1,,,,,,,,,
springsfire,springs30,321,live,pije,9.7,9.5,3.5,0,OV,1.25,,1,,,,,,,,,
springsfire,springs30,322,live,pije,7.7,3,1.3,0.3,OV,1.5,,1,,,,,,,,,
springsfire,springs30,323,live,pije,37.1,14,5,2,IN,2.3,,1,,,,,,,,,
springsfire,springs30,324,live,pije,8.3,3,1,0.1,OV,1.75,,1,,,,,,,,,
springsfire,springs30,325,live,pico,35.9,13.5,4,1.75,IN,3.2,,1,,,,,,,,,
springsfire,springs30,326,live,pije,9.8,4,1.6,0.4,OV,1.25,,1,,,,,,,,,
springsfire,springs30,327,live,pije,15.5,4,1,1,OV,1.2,,1,,,,,,,,,
springsfire,springs30,328,live,pije,22,6,3,0.6,IN,3,,1,,,,,,,,,
springsfire,springs30,329,live,pije,8.6,5,3,1.5,OV,0.75,,1,,,,,,,,,
springsfire,springs30,331,live,pije,12.4,7,1.2,0.6,OV,1.5,,1,,,,,,,,,
springsfire,springs30,332,live,pije,17.9,10,3,0.7,IN,2.5,,1,,,,,,,,,
springsfire,springs30,333,live,pije,12.1,5,1.25,0.2,OV,1,,1,,,,,,,,,
springsfire,springs30,334,live,pije,19.6,7,4,1,IN,1.75,,1,,,,,,,,,
springsfire,springs30,335,live,pije,33.8,10,4,0.2,IN,2.5,,1,,,,,,,,,
springsfire,springs30,336,live,pije,50.3,14,4,0.4,CO,7,1.6,1,,,,,,,,,
springsfire,springs37,,stump,pije,,,,,,,50,0.85,3,,,,,,,,
springsfire,springs37,386,live,pico,36,14.5,1.1,0.2,IN,3,,,1,,,,,,,,
springsfire,springs37,387,live,pije,13.5,5,1.8,0.1,OV,1,,,1,,,,,,,,
springsfire,springs37,388,live,pije,9.5,2.5,1.2,0.1,OV,0.5,,,1,,,,,,,,
springsfire,springs37,389,live,pije,87.5,26.2,8,2,CO,4,,,1,,,,,,,,
springsfire,springs37,390,live,pije,51.4,17.9,14.2,2,OV,1.5,,,2,,,,,,,,
springsfire,springs37,391,live,pije,48.4,19.6,5,3,IN,2,,,1,,,,,,,,
springsfire,springs37,,stump,pije,,,,,,,58,0.16,3,,,,,,,,
springsfire,springs37,392,live,pije,18.1,7,3,0.9,OV,1,,,1,,,,,,,,
springsfire,springs37,393,live,pije,51.5,18.4,6,1,IN,3,,,1,,,,,,,,
springsfire,springs37,394,live,pije,18.5,7.3,1,0.08,OV,1.5,,,1,,,,,,,,
springsfire,springs37,395,live,pije,40.7,16.6,3.3,1.8,IN,2,,,1,,,,,,,,
springsfire,springs37,396,live,pije,69,22.5,8,2.1,CO,3,,,1,,,,,,,,
springsfire,springs37,397,live,pije,31.8,9.3,3.1,0.4,OV,2.5,,,1,,,,,,,,
springsfire,springs37,398,live,pico,59.2,18.2,2,0.1,IN,5,,,1,,,,,,,,
springsfire,springs37,399,live,pije,48.2,14.7,4.5,2,IN,3,,,1,,,,,,,,
springsfire,springs37,400,live,pije,48.2,14.8,4.8,1.8,IN,3,,,1,,,,,,,,
springsfire,springs37,401,live,pico,40.7,11.5,0.5,0.01,IN,4,,,1,,,,,,,,
springsfire,springs37,,stump,pico,,,,,,,70,0.54,3,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,18.5,0.26,1,,,,,,,,
springsfire,springs38,402,live,pije,45.3,15,6,2.4,IN,3,,,1,,,,,2.3,,,
springsfire,springs38,,stump,pije,,,,,,,11.3,0.2,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,12,0.2,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,27,0.18,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,20,0.19,2,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,13,0.23,1,,,,,,,,
springsfire,springs38,403,dead,pico,55,15,,2,,,,,1,,,,,3.5,,,
springsfire,springs38,404,live,pije,46.8,18,7,3,IN,3,,,1,,,,,4,,,
springsfire,springs38,405,live,pije,47.9,18,9,2.9,IN,3,,,1,,,,,3,,,
springsfire,springs38,406,live,pije,63.6,21.9,10,3,CO,4,,,1,,,,,3,,,
springsfire,springs38,,stump,pije,,,,,,,50,0.27,2,,,,,,,,
springsfire,springs38,407,live,pije,43.8,15,8,4.5,IN,3,,,1,,,,,1.3,,,
springsfire,springs38,,stump,pije,,,,,,,33,0.17,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,50,0.2,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,22,0.18,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,16,0.19,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,18,0.17,1,,,,,,,,
springsfire,springs38,408,live,pije,63.9,18,7,1.8,IN,4,,,1,,,,,4.5,,,
springsfire,springs38,,stump,pije,,,,,,,26,0.24,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,35,0.28,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,11.4,0.18,1,,,,,,,,
springsfire,springs38,409,live,pije,60.4,23,9,5,CO,4,,,1,,,,,5,,,
springsfire,springs38,,stump,pije,,,,,,,21,0.17,1,,,,,,,,
springsfire,springs38,,stump,pije,,,,,,,17,0.26,1,,,,,,,,
springsfire,springs38,410,live,pije,65.3,21.4,10,4,CO,5,,,1,,,,,4,,,
springsfire,springs38,,stump,pije,,,,,,,13,0.06,1,,,,,,,,
springsfire,springs39,411,live,pije,56.5,18.5,5.4,2.5,CO,4,,,1,,,,,2.5,,,
springsfire,springs39,412,live,pije,50.5,17.1,5,2,CO,3,,,1,,,,,2.5,,,
springsfire,springs39,413,live,pije,59.5,19.9,5.3,1,CO,3.5,,,1,,,,,2.3,,,
springsfire,springs39,,stump,pije,,,,,,,41,0.36,2,,,,,,,,
springsfire,springs39,,dead,pico,55.1,13.7,,0.01,,,,,1,,,,,2.5,,,
springsfire,springs39,,stump,pico,,,,,,,47,0.32,1,,,,,,,,
springsfire,springs39,,stump,pije,,,,,,,52,0.21,1,,,,,,,,
springsfire,springs39,,stump,pije,,,,,,,35,0.2,1,,,,,,,,
springsfire,springs39,414,live,pico,42.5,13,7.4,0.5,IN,2,,,2,,,,,0.1,,,
springsfire,springs40,415,live,pije,10.9,3,1.4,0.1,IN,1.25,,,1,,,,,,,,
springsfire,springs40,,stump,pije,,,,,,,86,1,3,,,,,,,,
springsfire,springs40,,stump,pije,,,,,,,77,0.9,3,,,,,,,,
springsfire,springs40,416,live,pije,9.8,3.4,1,0.2,IN,1.6,,,1,,,,,,,,
springsfire,springs40,417,live,pico,21.5,5.5,1,0.05,IN,3.4,,,1,,,,,,,,
springsfire,springs40,418,live,pico,18.2,5,1.1,0.1,IN,2,,,1,,,,,,,,
springsfire,springs40,419,live,pico,22,5,1.2,0.2,IN,2,,,1,,,,,,,,
springsfire,springs40,420,live,pije,54.25,16,4,1.5,CO,5.5,,,1,,,,,,,,
springsfire,springs40,421,live,pico,26.25,9.2,1.7,0.1,OV,5,,,1,,,,,,,,
springsfire,springs40,,stump,pije,,,,,,,91,1.1,3,,,,,,,,
springsfire,springs40,422,live,pico,27.4,5.2,1,0.4,IN,4,,,1,,,,,,,,
springsfire,springs32,353,live,pije,55.6,19,5.5,3.3,CO,5,1,1,,,,,,,,,
springsfire,springs32,354,live,pije,58.4,16.9,5.3,1.5,CO,6,,1,,,,,,,,,
springsfire,springs32,355,live,pije,31.4,11.1,4,1.4,IN,3,,1,,,,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,25.5,0.42,3,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,22,0.3,3,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,20,0.3,3,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,21,0.3,3,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,15,0.36,2,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,18,0.13,2,,,,,,
springsfire,springs32,,stump,pije,,,,,,,,,59,0.5,3,,,,,,
springsfire,springs32,356,live,,,15.3,5,3.5,CO,,,1,,,,,,,,,
springsfire,springs32,357,live,,,24,9,5,DO,,,1,,,,,,,,,
springsfire,springs35,368,live,,,19.4,5.2,2.1,CO,,,1,,,,,,,,,
springsfire,springs35,369,live,,,5.1,1.3,0.1,OV,,,1,,,,,,,,,
springsfire,springs35,370,live,,17.1,13.5,2.5,0.8,IN,2,,1,,,,,,,,,
springsfire,springs35,371,live,,34.7,7.5,3,0,OV,3,,1,,,,,,,,,
springsfire,springs35,372,live,,23.5,12,1.5,0.1,CO,3,,1,,,,,,,,,
springsfire,springs35,373,live,,36.7,9.2,1.6,0,CO,4,,1,,,,,,,,,
springsfire,springs35,374,live,,,10.2,1.3,0,CO,,,1,,,,,,,,,
